N	2gram	Vygotskiy__6	Problema
1	то что	28	42
2	и в	28	32
3	и не	11	31
4	не менее	2	19
5	в этом	27	19
6	не только	16	17
7	потому что	22	16
8	по себе	3	15
9	а не	3	15
10	в себе	4	15
11	как бы	11	14
12	может быть	13	14
13	у нас	2	14
14	но в	5	14
15	и тем	5	13
16	в нем	7	13
17	сказать что	13	13
18	что мы	11	13
19	как раз	6	13
20	что в	17	12
21	том что	19	12
22	так и	6	12
23	так как	10	11
24	если мы	2	11
25	то же	7	10
26	прежде всего	2	10
27	в этой	5	10
28	но не	10	9
29	в том	28	9
30	это есть	3	9
31	но и	10	9
32	и что	6	9
33	так же	15	9
34	же самое	6	9
35	раз и	2	9
36	по своему	2	9
37	еще не	8	9
38	того чтобы	10	9
39	в данном	2	9
40	на то	4	8
41	не может	19	8
42	все эти	2	8
43	и на	5	8
44	когда мы	6	8
45	было бы	9	8
46	в своей	2	8
47	для того	8	8
48	но это	2	8
49	никогда не	8	7
50	и является	2	7
51	все это	2	7
52	того что	24	7
53	в них	3	7
54	и все	5	7
55	что он	18	7
56	во всех	4	7
57	как мы	10	7
58	тем что	8	7
59	только в	18	7
60	в конце	2	6
61	так что	6	6
62	и как	6	6
63	при этом	3	6
64	в самом	8	6
65	хотя и	3	6
66	таким образом	18	6
67	это не	5	6
68	и здесь	3	6
69	но как	3	6
70	и то	4	6
71	его в	6	6
72	как это	3	6
73	этом смысле	2	6
74	в то	6	6
75	в его	3	6
76	самом деле	2	6
77	что такое	3	6
78	в своем	7	5
79	можно сказать	6	5
80	а только	2	5
81	для нас	2	5
82	есть в	3	5
83	мы уже	2	5
84	не являются	2	5
85	в котором	2	5
86	мы должны	3	5
87	в сознании	4	5
88	с тем	5	5
89	то в	5	5
90	связи с	3	5
91	в других	2	5
92	казалось бы	2	4
93	именно в	4	4
94	тому что	11	4
95	не в	4	4
96	мы и	4	4
97	один из	3	4
98	только то	3	4
99	на том	2	4
100	в их	3	4
101	и только	3	4
102	мышления и	7	4
103	а в	2	4
104	если бы	7	4
105	как в	3	4
106	только на	2	4
107	перейти к	2	4
108	тем самым	8	4
109	мы можем	9	4
110	в связи	2	4
111	и вообще	2	4
112	что всякий	2	4
113	в этих	2	3
114	в отношении	10	3
115	с другой	2	3
116	что все	5	3
117	что они	2	3
118	несмотря на	2	3
119	из них	2	3
120	другой стороны	2	3
121	для этого	2	3
122	мы говорим	2	3
123	и его	3	3
124	что оно	7	3
125	в которых	2	3
126	с этим	4	3
127	но он	2	3
128	точки зрения	13	3
129	чего он	4	3
130	необходимо чтобы	2	3
131	и следовательно	4	3
132	с ним	2	3
133	только не	3	3
134	в случае	3	3
135	ясно что	4	3
136	говорим что	2	3
137	как и	6	3
138	того же	7	3
139	до сих	3	3
140	к тому	10	3
141	он не	7	3
142	оно не	4	3
143	сих пор	3	3
144	того как	5	3
145	хотя в	2	3
146	бы оно	2	3
147	не на	2	3
148	на этот	4	3
149	с точки	10	3
150	можно было	7	3
151	как оно	3	3
152	в чем	6	3
153	что их	3	2
154	он сам	2	2
155	не могут	5	2
156	все время	3	2
157	исследования мы	2	2
158	же как	6	2
159	что если	2	2
160	друг другу	2	2
161	вообще не	6	2
162	само собой	2	2
163	одного и	4	2
164	мы называем	2	2
165	как они	2	2
166	этом случае	2	2
167	это мы	3	2
168	определенного рода	2	2
169	но только	2	2
170	является не	2	2
171	которая является	2	2
172	но что	4	2
173	для него	6	2
174	например в	4	2
175	на его	3	2
176	но если	4	2
177	себе что	2	2
178	на этой	5	2
179	этой области	2	2
180	которых мы	2	2
181	сейчас мы	3	2
182	не имеет	6	2
183	больше чем	3	2
184	эти последние	2	2
185	знаем что	4	2
186	из этих	3	2
187	известной степени	2	2
188	к его	2	2
189	о предмете	2	2
190	в первом	4	2
191	который мы	4	2
192	мы имеем	4	2
193	том как	2	2
194	с его	3	2
195	нашего исследования	5	2
196	могут быть	5	2
197	но когда	2	2
198	он должен	4	2
199	понимать что	2	2
200	в понятии	4	2
201	увидим ниже	2	2
202	и того	4	2
203	по существу	2	2
204	мы видим	7	2
205	в качестве	4	2
206	она не	2	2
207	предмета и	2	2
208	в сущности	7	2
209	во внимание	2	2
210	вместе с	7	2
211	ее в	2	2
212	только что	2	2
213	формальной логики	2	2
214	этого понятия	3	2
215	а это	3	2
216	мы не	6	2
217	с другими	2	2
218	нас в	2	2
219	на одном	2	2
220	понятия и	10	2
221	как понятие	2	2
222	тем и	3	2
223	не хватает	2	2
224	и другое	2	2
225	которые в	4	2
226	в которой	7	2
227	в области	6	2
