N	2gram	Medvedev_V_1	KulturaY
1	и т	23	54
2	т п	9	41
3	т е	18	32
4	и в	26	23
5	точки зрения	3	23
6	в том	15	22
7	не только	25	17
8	было бы	7	16
9	в этом	26	16
10	в области	2	14
11	может быть	22	14
12	что в	10	13
13	в самом	4	13
14	не менее	2	12
15	для того	3	12
16	том что	8	11
17	а не	7	11
18	того что	3	11
19	в его	14	11
20	того чтобы	3	11
21	можно было	2	11
22	у нас	2	10
23	и не	19	10
24	прежде всего	13	9
25	еще не	2	9
26	хотя бы	19	9
27	таким образом	31	9
28	если бы	3	8
29	лишь в	2	8
30	зависимости от	5	8
31	между прочим	2	8
32	т д	14	8
33	как на	3	8
34	в виду	4	8
35	с другой	11	7
36	или иной	2	7
37	в зависимости	6	7
38	должно быть	2	7
39	сказать что	5	7
40	все эти	6	7
41	как это	12	7
42	с тем	3	6
43	по себе	2	6
44	что и	3	6
45	что он	4	6
46	в силу	11	6
47	так и	5	6
48	в их	5	6
49	не может	17	6
50	то же	10	6
51	в общем	2	6
52	могут быть	5	6
53	говорить о	2	6
54	связи с	4	6
55	только в	7	6
56	о том	10	6
57	не могут	7	5
58	и есть	5	5
59	вовсе не	3	5
60	как и	7	5
61	не в	6	5
62	хотя и	2	5
63	что она	2	5
64	как бы	5	5
65	все же	5	5
66	от того	2	5
67	в связи	3	5
68	а в	3	5
69	также и	2	5
70	из этих	7	5
71	далеко не	2	5
72	в чем	2	5
73	тому что	6	4
74	один из	5	4
75	в целом	4	4
76	одной стороны	2	4
77	в своей	4	4
78	том чтобы	2	4
79	в ее	4	4
80	то что	6	4
81	как раз	3	4
82	в нашей	4	4
83	в своем	8	4
84	не было	7	4
85	с одной	2	4
86	заключается в	2	4
87	что не	3	4
88	что такое	2	4
89	в слове	3	4
90	не столько	2	4
91	между тем	5	4
92	которые в	2	4
93	тогда когда	2	4
94	на вопрос	2	3
95	отнюдь не	3	3
96	как о	2	3
97	это не	7	3
98	формы и	2	3
99	п в	3	3
100	именно в	2	3
101	к тому	4	3
102	и к	3	3
103	но как	3	3
104	по существу	3	3
105	это и	6	3
106	мы видели	3	3
107	но не	2	3
108	очевидно что	7	3
109	по поводу	2	3
110	но для	2	3
111	он не	2	3
112	то это	2	3
113	только то	2	3
114	в процессе	16	3
115	но и	10	3
116	вообще и	2	3
117	по отношению	7	3
118	другой стороны	8	3
119	об образе	2	3
120	они не	2	3
121	естественно что	2	3
122	не по	2	3
123	в ней	2	3
124	бы и	6	3
125	в которых	3	3
126	могло бы	2	3
127	этот вопрос	3	3
128	в результате	5	3
129	этого рода	2	3
130	в то	6	3
131	она не	3	3
132	того или	2	3
133	бы не	2	3
134	отметить что	2	3
135	так сказать	2	2
136	образом не	3	2
137	том числе	2	2
138	все это	10	2
139	о чем	2	2
140	в частности	11	2
141	все они	2	2
142	и значит	2	2
143	в одном	4	2
144	что все	3	2
145	как например	2	2
146	главным образом	7	2
147	можно сказать	4	2
148	к его	2	2
149	как об	2	2
150	и как	3	2
151	и при	5	2
152	что они	3	2
153	в различных	2	2
154	более или	6	2
155	также что	2	2
156	равно как	4	2
157	смысле слова	2	2
158	в большей	2	2
159	в качестве	11	2
160	каждой из	2	2
161	в статье	4	2
162	не о	2	2
163	в котором	3	2
164	его в	3	2
165	отношению к	7	2
166	в пределах	5	2
167	когда он	3	2
168	вместе с	7	2
169	подчеркнуть что	2	2
170	и дальше	2	2
171	или менее	6	2
172	он пишет	7	2
173	отличается от	2	2
174	в особенности	2	2
175	только что	4	2
176	и через	2	2
177	чтобы не	2	2
178	ни одного	2	2
179	так же	3	2
180	с другими	2	2
181	примеров можно	2	2
182	том отношении	2	2
183	чем же	4	2
184	а вот	2	2
185	только о	2	2
186	что мы	2	2
187	тому как	2	2
188	еще и	2	2
189	как он	2	2
190	относится к	2	2
191	само собою	2	2
192	мы имеем	3	2
193	но в	2	2
194	е в	2	2
