N	2gram	Bakhtin_KF_1	Vladivir
1	и в	24	40
2	то что	7	28
3	и не	26	25
4	не только	5	25
5	но и	9	18
6	в том	6	18
7	том что	4	18
8	что в	4	17
9	в этом	14	16
10	в его	40	14
11	не может	27	14
12	точки зрения	12	13
13	вовсе не	7	13
14	в виде	2	13
15	только в	16	13
16	никогда не	5	11
17	потому что	2	11
18	о том	3	11
19	едва ли	2	11
20	прежде всего	2	10
21	тем не	2	10
22	ни в	12	10
23	это есть	2	10
24	и потому	2	10
25	не есть	20	10
26	и его	17	10
27	не менее	3	9
28	что это	3	9
29	уже не	7	9
30	и то	2	9
31	в своей	10	9
32	в себе	21	9
33	в своем	16	8
34	в этой	2	8
35	для него	8	8
36	может быть	45	8
37	раз и	2	8
38	он не	6	8
39	а не	17	8
40	и как	2	7
41	а в	4	7
42	в своих	3	7
43	с тем	2	7
44	того что	3	7
45	в то	3	7
46	что и	7	7
47	как и	5	7
48	и здесь	7	6
49	свое бытие	2	6
50	и на	3	6
51	по себе	2	6
52	во всем	7	6
53	в смысле	6	6
54	не будет	2	6
55	так и	2	6
56	если не	2	6
57	хотя бы	4	6
58	с точки	9	6
59	но это	6	6
60	и это	12	6
61	для нас	4	5
62	совсем не	2	5
63	должно быть	6	5
64	не было	8	5
65	все эти	10	5
66	в ней	3	5
67	отнюдь не	6	5
68	в одном	4	5
69	что он	2	5
70	для себя	5	5
71	в данном	2	5
72	тем что	3	5
73	ничего общего	2	5
74	дело в	2	5
75	ничего не	3	5
76	тому что	2	4
77	вопрос о	2	4
78	до конца	3	4
79	в котором	24	4
80	от того	3	4
81	не имеет	5	4
82	поскольку он	2	4
83	бы и	3	4
84	философии но	2	4
85	и все	7	4
86	но не	12	4
87	еще не	4	4
88	было бы	8	4
89	то же	5	4
90	а с	2	4
91	в каком	4	4
92	все же	5	4
93	но в	5	4
94	или как	2	4
95	я не	6	3
96	независимо от	3	3
97	в качестве	2	3
98	то ни	2	3
99	это не	10	3
100	но все	5	3
101	при этом	4	3
102	но для	2	3
103	как бы	9	3
104	в виду	3	3
105	был бы	3	3
106	и тем	3	3
107	в нем	28	3
108	к нему	12	3
109	бы то	2	3
110	что есть	2	3
111	и только	6	3
112	именно в	5	3
113	на первом	2	3
114	сводится к	2	3
115	мы имеем	5	3
116	нисколько не	4	3
117	если бы	8	3
118	этом смысле	3	3
119	философии жизни	2	3
120	оно не	2	3
121	на самом	3	3
122	того чтобы	2	3
123	и эта	2	3
124	не в	12	3
125	и для	9	3
126	жизнь и	2	3
127	что этот	3	3
128	первом плане	2	3
129	бытие и	3	3
130	здесь не	3	3
131	в чем	4	3
132	это было	2	3
133	ни к	2	2
134	должна быть	4	2
135	философии в	2	2
136	же время	2	2
137	он ни	2	2
138	не о	2	2
139	той или	3	2
140	себе и	3	2
141	здесь нет	2	2
142	познания в	2	2
143	в целом	10	2
144	и за	2	2
145	в их	8	2
146	содержания и	2	2
147	за свое	4	2
148	в теоретической	2	2
149	но как	5	2
150	его в	5	2
151	и ни	3	2
152	могло бы	4	2
153	только с	3	2
154	и этот	3	2
155	не как	4	2
156	бытия и	10	2
157	в жизни	2	2
158	к этому	2	2
159	быть в	4	2
160	при условии	2	2
161	не нужно	2	2
162	в это	2	2
163	совершенно не	6	2
164	со стороны	7	2
165	в мире	6	2
166	быть и	3	2
167	но можно	4	2
168	всех своих	4	2
169	тем самым	4	2
170	для того	3	2
171	мы не	3	2
172	от этого	2	2
173	всей своей	2	2
174	в другом	3	2
175	что эта	2	2
