N	2gram	Losev_Dial_2	TeoriaLi
1	в мире	2	24
2	– это	6	20
3	не только	19	18
4	и не	30	16
5	– в	8	14
6	а в	4	14
7	в частности	2	13
8	и в	19	13
9	может быть	20	12
10	так и	10	12
11	при этом	4	11
12	в этом	8	11
13	в том	14	11
14	но не	6	10
15	а не	16	10
16	и его	5	10
17	то же	12	9
18	в душе	7	8
19	что в	7	8
20	но и	12	8
21	себя в	2	7
22	в себе	15	7
23	том что	10	7
24	в данном	3	7
25	точки зрения	12	7
26	по своей	4	7
27	в то	6	7
28	только в	5	7
29	как это	7	7
30	же время	5	6
31	еще не	4	6
32	как бы	14	6
33	но в	2	6
34	в своем	4	5
35	в ее	4	5
36	как и	10	5
37	не в	8	5
38	в самом	5	5
39	того или	2	5
40	в нем	10	5
41	данном случае	2	5
42	как в	2	5
43	он не	4	5
44	уже не	3	5
45	с другой	5	5
46	между тем	2	5
47	мы имеем	3	5
48	в искусстве	2	5
49	личности и	6	4
50	не менее	3	4
51	личности в	8	4
52	можно сказать	5	4
53	ни в	10	4
54	субъекта и	4	4
55	более или	2	4
56	в своей	8	4
57	то что	14	4
58	или менее	2	4
59	в их	2	4
60	не может	9	4
61	сказать что	10	4
62	но он	4	4
63	говорить о	5	4
64	перед нами	2	3
65	никогда не	9	3
66	в этих	3	3
67	в противоположность	2	3
68	прежде всего	8	3
69	и к	7	3
70	а только	3	3
71	тем не	2	3
72	в акте	2	3
73	по своему	5	3
74	того что	6	3
75	например в	2	3
76	и –	4	3
77	той или	4	3
78	и потому	5	3
79	с ее	2	3
80	– не	9	3
81	во времени	4	3
82	другой стороны	4	3
83	как раз	5	3
84	таким образом	4	3
85	именно в	2	3
86	в другом	4	3
87	и вот	4	3
88	и что	5	3
89	и по	4	3
90	– все	2	3
91	или в	2	3
92	и то	7	3
93	потому что	14	3
94	в этой	3	3
95	его в	3	3
96	все эти	2	3
97	во мне	4	2
98	я не	6	2
99	сама по	7	2
100	только не	2	2
101	о чем	3	2
102	была бы	3	2
103	могут быть	4	2
104	за пределы	4	2
105	в конце	2	2
106	это не	10	2
107	но –	5	2
108	вовсе не	13	2
109	по себе	18	2
110	что он	6	2
111	к тому	2	2
112	об этом	3	2
113	но как	5	2
114	и как	10	2
115	– и	3	2
116	что они	6	2
117	одно и	4	2
118	или иным	2	2
119	мы в	2	2
120	жизнь личности	2	2
121	в виду	5	2
122	так или	2	2
123	даже в	3	2
124	времени в	2	2
125	своей природе	2	2
126	к нему	4	2
127	во всех	2	2
128	вместе с	2	2
129	дело не	2	2
130	жизни –	2	2
131	а именно	5	2
132	человеческой жизни	2	2
133	не на	2	2
134	собственно говоря	2	2
135	– как	2	2
136	с одной	2	2
137	это и	3	2
138	тех или	2	2
139	в той	3	2
140	с точки	8	2
141	и даже	14	2
142	и притом	7	2
143	так же	2	2
144	или иначе	2	2
145	их в	2	2
146	как будто	7	2
147	о том	5	2
148	и это	5	2
149	в чем	3	2
150	в которой	2	2
151	в области	2	2
152	я и	2	2
153	мире и	2	2
154	это было	3	2
