N	3gram	Tiupa_Narr_1	Analitik
1	о том что	6	6
2	в том что	8	6
3	в данном случае	4	5
4	с одной стороны	7	4
5	так и не	2	4
6	состоит в том	3	4
7	к тому же	4	4
8	по отношению к	6	4
9	той или иной	4	3
10	мы имеем дело	2	3
11	тем не менее	3	3
12	того или иного	2	3
13	в этом отношении	3	3
14	обращает на себя	3	3
15	на себя внимание	3	3
16	подобно тому как	2	3
17	том или ином	2	2
18	то же время	3	2
19	в отличие от	5	2
20	присутствия в мире	2	2
21	в том или	2	2
22	в значительной степени	2	2
23	в таком случае	2	2
24	с точки зрения	2	2
25	в то же	3	2
26	не только в	2	2
27	можно было бы	2	2
28	с другой стороны	4	2
29	и тем самым	3	2
30	в конечном счете	2	2
31	то есть в	2	2
32	тогда как в	2	2
