N	2gram	Propp_Russ_2	Komedia
1	и в	29	22
2	т е	24	13
3	том что	22	12
4	в г	2	11
5	в том	22	11
6	но и	8	11
7	не только	10	10
8	из них	4	10
9	в то	2	10
10	как и	11	9
11	и т	5	9
12	может быть	13	9
13	таким образом	6	8
14	должны были	2	8
15	о том	9	8
16	в этой	3	7
17	и других	3	7
18	что в	22	6
19	и по	3	6
20	то же	4	6
21	не в	4	6
22	а в	9	6
23	в которой	2	6
24	с другой	2	5
25	во время	12	5
26	прежде всего	2	5
27	при этом	6	5
28	еще в	2	5
29	один из	2	5
30	в народном	3	5
31	как в	7	5
32	все это	10	5
33	то время	2	5
34	потому что	5	5
35	между тем	3	5
36	именно в	4	4
37	в их	2	4
38	к этому	5	4
39	как мы	3	4
40	же в	6	4
41	в качестве	3	4
42	а также	4	4
43	в котором	3	4
44	что и	2	4
45	так в	2	4
46	т д	5	4
47	тем что	3	4
48	так как	13	4
49	но в	5	4
50	же как	4	3
51	главным образом	3	3
52	не менее	2	3
53	в них	4	3
54	в образе	2	3
55	вопрос о	4	3
56	у нас	4	3
57	и как	2	3
58	здесь в	2	3
59	после того	2	3
60	одной стороны	2	3
61	и о	3	3
62	песни в	3	3
63	все же	2	3
64	в честь	3	3
65	на землю	3	3
66	так же	4	3
67	того как	2	3
68	с одной	2	3
69	в течение	2	3
70	в году	3	3
71	там же	12	3
72	здесь мы	2	3
73	мы не	6	3
74	каждый из	2	3
75	и на	6	3
76	в этом	11	3
77	и с	10	3
78	в виде	4	3
79	могут быть	2	3
80	и ее	2	3
81	и еще	2	3
82	и все	4	3
83	его в	8	3
84	как это	4	3
85	для них	2	2
86	связанные с	2	2
87	под именем	3	2
88	образом в	2	2
89	тем не	2	2
90	мы видели	7	2
91	а к	2	2
92	должна была	5	2
93	одна из	11	2
94	на этом	3	2
95	но не	5	2
96	совсем не	2	2
97	до конца	3	2
98	еще не	6	2
99	было бы	3	2
100	к числу	2	2
101	на две	2	2
102	то что	5	2
103	не к	2	2
104	вместе с	6	2
105	ее в	8	2
106	также в	2	2
107	то и	4	2
108	для этого	5	2
109	не может	5	2
110	в других	15	2
111	этой цели	2	2
112	в форме	2	2
113	в и	3	2
114	из которых	2	2
115	к нему	4	2
116	право на	2	2
117	или в	7	2
118	к ней	2	2
119	но он	3	2
120	на себя	2	2
121	в своих	2	2
122	это время	2	2
123	будто бы	5	2
124	отличие от	3	2
125	из наиболее	2	2
126	что по	4	2
127	вывод что	2	2
128	е в	10	2
