N	3gram	Vinokur_Vv_1	DiskursI
1	в том что	12	13
2	с одной стороны	4	9
3	по отношению к	4	9
4	о том что	12	5
5	в отличие от	3	4
6	то же время	5	4
7	с другой стороны	5	3
8	не может быть	8	3
9	в то же	5	3
10	не в том	2	3
11	можно сказать что	3	2
12	и того же	2	2
13	одного и того	2	2
14	только в том	2	2
15	в данном случае	4	2
16	состоит в том	2	2
17	по крайней мере	4	2
18	в том чтобы	5	2
19	что же касается	2	2
20	большей или меньшей	2	2
21	и в особенности	4	2
22	в соответствии с	2	2
23	обратить внимание на	2	2
24	не только в	4	2
25	одной стороны и	3	2
26	то же самое	2	2
27	не говоря уже	2	2
