N	2gram	Tiupa_Narr_2	NovoeSre
1	а не	17	17
2	не может	8	16
3	и в	13	16
4	нового времени	2	12
5	и не	14	11
6	что в	4	9
7	жизни и	4	8
8	он не	5	8
9	в том	14	8
10	не будет	2	7
11	как и	4	7
12	в этом	13	7
13	может быть	10	7
14	с его	3	6
15	никогда не	6	6
16	не в	8	6
17	но это	2	6
18	в нем	5	5
19	в жизни	6	5
20	истории в	4	5
21	и к	6	5
22	в ней	2	5
23	не только	26	5
24	не менее	4	4
25	то что	8	4
26	это не	3	4
27	и все	4	4
28	быть может	2	4
29	не имеет	2	4
30	и для	3	4
31	потому что	2	4
32	по своему	2	4
33	прежде всего	6	4
34	о том	5	4
35	но и	15	3
36	должна быть	2	3
37	в своей	4	3
38	жизни в	6	3
39	с другой	5	3
40	к тому	9	3
41	в мире	4	3
42	в ее	4	3
43	подобно тому	2	3
44	как в	5	3
45	еще не	2	3
46	тому как	2	3
47	сказать что	3	3
48	времени и	4	2
49	я не	5	2
50	на протяжении	5	2
51	себя в	2	2
52	место в	5	2
53	у него	6	2
54	бытия в	2	2
55	так и	9	2
56	что она	2	2
57	в категориях	2	2
58	и т.п	6	2
59	а в	9	2
60	я уже	2	2
61	с одной	5	2
62	все эти	3	2
63	уже не	4	2
64	роль в	2	2
65	того чтобы	3	2
66	одной стороны	5	2
67	зависит от	2	2
68	и даже	3	2
69	хотя бы	2	2
70	но не	3	2
71	так же	2	2
72	мы не	2	2
73	войны и	4	2
74	том что	13	2
75	можно было	2	2
76	же как	2	2
77	можно назвать	2	2
78	одна из	3	2
79	и что	2	2
80	не к	4	2
81	в себе	8	2
82	в то	5	2
83	такого рода	12	2
84	в будущем	2	2
85	в центре	2	2
86	мира и	3	2
87	как это	4	2
88	истории а	2	2
89	но для	2	2
90	хотя и	5	2
91	но в	6	2
