N	2gram	Vygotskiy__6	Sotsiolo
1	все это	2	7
2	в том	28	5
3	в этом	27	5
4	не в	4	3
5	для нас	2	3
6	и только	3	3
7	в его	3	3
8	и в	28	3
9	не только	16	3
10	как только	2	2
11	по отношению	10	2
12	еще не	8	2
13	было бы	9	2
14	только в	18	2
15	в конце	2	2
16	по существу	2	2
17	это и	3	2
18	таким образом	18	2
19	том что	19	2
20	то же	7	2
21	отношению к	10	2
22	то что	28	2
23	может быть	13	2
24	в частности	4	2
25	и что	6	2
26	но и	10	2
27	очевидно что	3	2
28	к которому	2	2
29	как бы	11	2
30	что в	17	2
