N	2gram	Bakhtin_fo_1	Formalny
1	и в	50	24
2	в его	13	23
3	прежде всего	15	22
4	и не	14	20
5	так и	12	18
6	не может	6	16
7	точки зрения	5	16
8	в этом	25	15
9	в нем	24	14
10	может быть	11	14
11	на почве	2	13
12	с точки	2	13
13	таким образом	11	13
14	и т	8	12
15	именно как	4	12
16	в своем	4	11
17	как и	8	11
18	в своей	2	11
19	в их	6	11
20	вовсе не	13	10
21	и ее	3	10
22	и их	8	10
23	то же	11	10
24	в ней	4	10
25	а не	3	10
26	и его	16	10
27	и потому	3	9
28	в процессе	4	9
29	все это	4	9
30	в то	9	9
31	его целом	2	8
32	в ее	6	8
33	же время	9	8
34	именно в	3	8
35	в свою	2	8
36	то что	6	8
37	как в	6	8
38	лишь в	6	8
39	и на	8	8
40	не в	5	8
41	и с	4	8
42	место в	2	7
43	до конца	4	7
44	не только	9	7
45	с ее	6	7
46	жизни и	8	7
47	но и	8	7
48	отнюдь не	5	6
49	и все	6	6
50	было бы	2	6
51	в том	9	6
52	до сих	3	6
53	в пределах	5	6
54	еще не	5	6
55	как бы	2	6
56	сих пор	3	6
57	в целом	2	6
58	входит в	3	6
59	а в	3	6
60	отношения к	3	6
61	все эти	9	6
62	на основе	2	6
63	на литературу	2	6
64	хотя бы	2	5
65	формы и	3	5
66	по себе	2	5
67	в литературе	16	5
68	лишь как	2	5
69	при этом	3	5
70	только на	3	5
71	и др	9	5
72	не могло	5	5
73	во всех	6	5
74	в самом	8	5
75	и до	5	5
76	как мы	14	5
77	того что	2	5
78	с другой	2	5
79	но в	10	5
80	с его	9	4
81	в частности	6	4
82	никогда не	2	4
83	не как	2	4
84	стороны и	2	4
85	с другими	3	4
86	и к	2	4
87	одной стороны	2	4
88	и может	2	4
89	если бы	5	4
90	конечно не	4	4
91	оно не	2	4
92	отношению к	5	4
93	быть и	2	4
94	так же	6	4
95	по отношению	3	4
96	т п	8	4
97	в связи	5	4
98	что в	5	4
99	с одной	3	4
100	только и	5	4
101	друг друга	3	4
102	в которой	2	4
103	во всяком	3	4
104	в истории	2	4
105	но не	5	3
106	в отношении	3	3
107	всех этих	5	3
108	связи с	6	3
109	в них	4	3
110	он должен	2	3
111	в жизни	6	3
112	ясно что	2	3
113	с помощью	2	3
114	к тому	3	3
115	для него	2	3
116	в широком	2	3
117	и как	10	3
118	со всеми	3	3
119	но для	2	3
120	не о	2	3
121	он не	5	3
122	в основном	5	3
123	один из	3	3
124	все же	6	3
125	же в	3	3
126	отношение к	2	3
127	время в	6	3
128	значение в	5	3
129	значение и	3	3
130	на фоне	3	3
131	влияние на	4	3
132	в особенности	9	3
133	не было	7	3
134	и других	3	3
135	не для	2	3
136	мы не	3	3
137	и даже	2	3
138	между ними	3	3
139	его в	3	3
140	у них	2	3
141	жизнь и	4	3
142	более того	3	3
143	в основе	5	3
144	они не	3	3
145	как она	2	3
146	в себе	3	3
147	здесь не	4	3
148	так сказать	7	3
149	ее целом	2	3
150	жизни не	3	2
151	а как	3	2
152	вступает в	2	2
153	же как	2	2
154	с тем	3	2
155	в нашем	2	2
156	его и	2	2
157	жизни в	8	2
158	это не	6	2
159	с этим	6	2
160	в одном	3	2
161	что было	3	2
162	вопрос о	2	2
163	здесь в	2	2
164	а только	2	2
165	но эта	3	2
166	ни в	8	2
167	в самой	2	2
168	в строгом	2	2
169	уже не	2	2
170	по существу	12	2
171	но все	5	2
172	в различных	2	2
173	одна из	2	2
174	если мы	2	2
175	только в	4	2
176	одной из	3	2
177	подхода к	3	2
178	единства и	2	2
179	этот образ	2	2
180	вполне понятно	4	2
181	в новое	3	2
182	к ней	2	2
183	как раз	13	2
184	и является	2	2
185	была бы	2	2
186	нет и	2	2
187	что и	3	2
188	строгом смысле	2	2
189	места в	2	2
190	вместе с	3	2
191	как если	2	2
192	во всей	3	2
193	всем этим	3	2
194	всего этого	2	2
195	раз и	2	2
196	и те	3	2
197	часто и	2	2
198	для других	4	2
199	в результате	6	2
200	от этого	2	2
201	сами же	2	2
202	они были	2	2
203	ничего не	9	2
204	жизни но	5	2
205	и это	4	2
206	тех же	2	2
207	во всем	2	2
208	с ним	2	2
209	влияния на	2	2
210	мира в	3	2
