N	2gram	Tiupa_Teor_1	VLabPisa
1	таким образом	3	27
2	в этом	8	26
3	и в	18	25
4	не только	16	22
5	может быть	17	21
6	и не	13	19
7	не может	4	17
8	в его	6	15
9	прежде всего	2	13
10	в том	16	13
11	в частности	16	12
12	все это	2	12
13	как это	8	12
14	с другой	7	11
15	не могут	2	10
16	в качестве	24	10
17	в художественном	3	10
18	об этом	2	9
19	что в	9	9
20	для него	2	9
21	но и	9	9
22	то же	7	9
23	говорит и	2	8
24	все эти	2	8
25	в своем	4	8
26	другой стороны	5	8
27	могут быть	4	8
28	не следует	4	8
29	из этих	3	7
30	как и	4	7
31	том что	9	7
32	в конечном	6	7
33	отношению к	4	7
34	вместе с	2	7
35	по отношению	4	7
36	а не	9	7
37	в порядке	3	6
38	это не	2	6
39	художественного произведения	4	6
40	в себе	9	6
41	то что	3	6
42	более или	2	6
43	в нем	4	6
44	так и	10	6
45	или менее	2	6
46	и его	8	6
47	их в	3	6
48	между тем	5	6
49	в то	6	6
50	тому что	2	5
51	же время	5	5
52	конечном счете	6	5
53	как говорит	3	5
54	в пределах	5	5
55	в искусстве	6	5
56	одним из	2	5
57	как бы	5	5
58	один из	2	5
59	в их	2	5
60	приводит к	5	5
61	на основе	2	5
62	сказать что	3	5
63	только в	6	5
64	не в	7	5
65	не является	4	5
66	к тому	2	4
67	никогда не	4	4
68	перед нами	2	4
69	в одном	2	4
70	в целом	3	4
71	с его	5	4
72	можно сказать	3	4
73	в ее	5	4
74	в романе	3	4
75	в своей	6	4
76	в самом	4	4
77	даже в	3	4
78	как раз	2	4
79	в них	2	4
80	в этой	3	4
81	в противоположность	2	3
82	и к	3	3
83	и ее	3	3
84	и как	2	3
85	в конце	2	3
86	у нас	2	3
87	а всего	3	3
88	говорит в	2	3
89	или в	3	3
90	вслед за	2	3
91	далеко не	2	3
92	в виду	5	3
93	его в	2	3
94	что и	2	3
95	ее в	2	3
96	именно в	3	3
97	сводится к	5	3
98	того что	4	3
99	и по	2	3
100	так же	2	3
101	в слове	3	3
102	точки зрения	9	3
103	всего лишь	6	3
104	не менее	4	2
105	том числе	2	2
106	в стихотворении	4	2
107	только не	2	2
108	отличается от	2	2
109	в жизни	2	2
110	вовсе не	3	2
111	роль в	2	2
112	или иной	4	2
113	даже самая	2	2
114	анны карениной	2	2
115	и потому	2	2
116	но не	9	2
117	еще не	4	2
118	одной стороны	2	2
119	о своем	2	2
120	одной из	2	2
121	если бы	3	2
122	мы имеем	7	2
123	что она	2	2
124	и даже	2	2
125	не вполне	2	2
126	отнюдь не	3	2
127	если в	2	2
128	а в	13	2
129	с одной	2	2
130	и некоторые	2	2
131	заключается в	2	2
132	между ними	4	2
133	и для	2	2
134	с другими	5	2
135	хотя и	3	2
136	лишь в	6	2
137	он не	3	2
138	к его	2	2
139	говорить о	3	2
140	в другом	3	2
141	того или	3	2
142	в которой	2	2
143	в области	4	2
144	но в	9	2
