N	2gram	Tiupa_Vved_1	Mirosoze
1	и в	13	46
2	в нем	5	22
3	может быть	18	21
4	в этом	21	20
5	никогда не	4	18
6	для него	3	18
7	и не	12	18
8	не только	20	18
9	но и	19	15
10	не может	7	15
11	как и	11	13
12	а не	15	13
13	прежде всего	7	12
14	потому что	5	12
15	не было	2	11
16	в ней	4	11
17	но в	6	10
18	он не	3	10
19	в себе	5	10
20	не в	6	9
21	но это	3	8
22	как бы	4	8
23	в своем	5	8
24	отношение к	2	8
25	в мире	8	7
26	в нашем	6	7
27	и к	2	7
28	как в	4	7
29	и для	3	7
30	того что	6	6
31	жизни и	7	6
32	то же	5	5
33	бы и	4	5
34	в самом	2	5
35	один из	3	5
36	те же	2	5
37	это не	6	5
38	тот кто	2	5
39	и все	4	5
40	к тому	6	5
41	то что	6	5
42	в своей	5	5
43	и его	5	5
44	в его	4	5
45	что в	3	4
46	все что	3	4
47	до конца	3	4
48	не имеет	2	4
49	также и	4	4
50	в жизни	4	4
51	в свою	4	4
52	том что	7	4
53	что и	2	4
54	так и	8	4
55	уже не	5	4
56	и от	2	3
57	в том	10	3
58	высшей степени	2	3
59	жизни в	4	3
60	в своих	2	3
61	и на	3	3
62	и с	2	3
63	по своей	3	3
64	о том	5	3
65	в высшей	2	3
66	как он	2	3
67	с ним	3	3
68	к которому	2	3
69	не существует	2	3
70	если бы	7	3
71	в них	2	3
72	связано с	3	3
73	все равно	2	3
74	на смену	2	3
75	тем что	2	3
76	только в	6	3
77	есть в	2	3
78	место в	2	2
79	а лишь	2	2
80	но на	2	2
81	в этих	3	2
82	не всегда	2	2
83	или иной	3	2
84	такого рода	16	2
85	хотя и	7	2
86	не к	4	2
87	по отношению	7	2
88	лишь в	2	2
89	а в	6	2
90	в основе	3	2
91	не о	2	2
92	бы в	3	2
93	его с	2	2
94	то он	2	2
95	по себе	2	2
96	во всех	2	2
97	еще в	2	2
98	отношению к	7	2
99	принадлежит к	3	2
100	быть и	2	2
101	что же	3	2
102	человеческой жизни	3	2
103	в центре	2	2
104	бы не	2	2
105	можно было	2	2
106	тому как	2	2
107	подобно тому	2	2
108	как будто	4	2
