N	2gram	Nazirov_Tv_2	KulturaY
1	и т	13	33
2	в том	8	30
3	и в	20	24
4	потому что	7	23
5	том что	4	21
6	т п	2	18
7	что в	7	17
8	т д	11	14
9	в этом	8	14
10	может быть	8	13
11	все же	5	12
12	таким образом	10	12
13	в его	10	12
14	и не	9	12
15	не в	4	11
16	только в	2	11
17	вовсе не	2	10
18	в самом	3	10
19	у нас	2	10
20	не только	13	10
21	если бы	4	9
22	то что	3	9
23	прежде всего	8	9
24	отношению к	3	9
25	самом деле	2	9
26	о том	5	9
27	так как	3	9
28	по отношению	3	8
29	то же	7	8
30	уже не	3	8
31	а не	6	8
32	тем что	3	8
33	не менее	2	7
34	с другой	2	7
35	как бы	11	7
36	вместе с	3	7
37	не может	7	7
38	это не	7	7
39	так и	6	7
40	именно в	6	6
41	что он	6	6
42	при этом	8	6
43	но и	8	6
44	все это	6	6
45	другой стороны	2	6
46	все эти	4	6
47	в которых	3	6
48	не случайно	2	6
49	в которой	2	6
50	по крайней	2	5
51	крайней мере	2	5
52	но не	5	5
53	еще не	5	5
54	что не	3	5
55	например в	5	5
56	всяком случае	2	5
57	и что	2	5
58	но уже	3	5
59	а в	4	5
60	и его	9	5
61	рядом с	2	5
62	во всяком	2	5
63	между тем	3	5
64	xix века	7	5
65	так сказать	2	5
66	с ним	3	5
67	и с	8	5
68	в частности	2	4
69	и потому	4	4
70	в нем	3	4
71	что они	4	4
72	из них	2	4
73	один из	3	4
74	в целом	6	4
75	сих пор	3	4
76	до сих	3	4
77	как в	4	4
78	и тогда	2	4
79	тем самым	4	4
80	так что	2	4
81	так же	5	4
82	роль в	2	4
83	с ними	2	4
84	и на	5	4
85	уже в	2	3
86	если не	4	3
87	казалось бы	3	3
88	представление о	7	3
89	в духе	4	3
90	сводится к	2	3
91	ли не	2	3
92	в соответствии	4	3
93	соответствии с	4	3
94	в этой	5	3
95	и если	2	3
96	а а	4	3
97	в котором	3	3
98	в истории	2	3
99	на его	4	3
100	когда он	4	3
101	что она	4	3
102	а с	3	3
103	не было	2	3
104	с большим	3	3
105	в их	3	3
106	и даже	5	3
107	и он	2	3
108	в таком	3	3
109	хотя и	4	3
110	в себе	3	3
111	в одном	2	3
112	к которому	2	3
113	я не	2	2
114	и есть	2	2
115	никогда не	11	2
116	превращается в	3	2
117	в стороне	2	2
118	с этой	3	2
119	не является	3	2
120	в то	10	2
121	как о	2	2
122	что его	2	2
123	как и	6	2
124	же время	7	2
125	и мы	3	2
126	в своей	6	2
127	по преимуществу	2	2
128	одним из	3	2
129	том же	2	2
130	но если	2	2
131	к жизни	2	2
132	так например	3	2
133	он не	3	2
134	целом и	2	2
135	на этот	2	2
136	д и	2	2
137	действия и	2	2
138	во многих	2	2
139	в силах	2	2
140	не столько	2	2
141	и еще	2	2
142	что я	2	2
143	может служить	2	2
144	но ведь	2	2
145	тогда как	3	2
146	ничего не	4	2
147	но в	4	2
148	любви к	3	2
