N	3gram	Losev_Vlad_3	Myshleni
1	с точки зрения	6	18
2	в том что	10	15
3	с другой стороны	2	9
4	с одной стороны	3	8
5	о том что	8	6
6	в то время	4	5
7	так же как	2	5
8	не может быть	6	5
9	вместе с тем	6	5
10	в этом отношении	2	4
11	то время как	2	4
12	к тому что	2	3
13	сам по себе	2	3
14	на то что	2	3
15	во всяком случае	3	3
16	и в отношении	3	3
17	в данном случае	2	2
18	независимо от того	2	2
19	на первый план	2	2
20	том что в	3	2
21	в то же	3	2
22	а с другой	2	2
23	то же время	2	2
24	есть прежде всего	2	2
