N	2gram	Medvedev_S_1	Myshleni
1	в том	5	33
2	том что	2	27
3	то что	2	20
4	в этом	5	19
5	и в	3	15
6	не только	3	15
7	что в	2	14
8	таким образом	2	14
9	но и	2	10
10	было бы	2	10
11	может быть	2	9
12	не в	3	8
13	и что	2	8
14	как бы	2	7
15	в частности	2	6
16	по отношению	2	6
17	к которому	2	6
18	по существу	2	5
19	отношению к	2	5
20	то же	2	5
21	для нас	3	4
22	все это	7	4
23	только в	2	4
24	очевидно что	2	3
25	и только	3	3
26	в результате	2	3
27	тем более	2	3
28	как только	2	2
29	и мы	2	2
30	но ведь	3	2
31	за пределы	2	2
32	в его	3	2
