N	2gram	Tiupa_Teor_1	Problemy
1	и в	18	34
2	и не	13	29
3	как бы	5	27
4	в его	6	22
5	может быть	17	19
6	в нем	4	19
7	не может	4	19
8	о себе	2	18
9	как и	4	18
10	но в	9	16
11	все это	2	16
12	и его	8	16
13	в этом	8	16
14	прежде всего	2	15
15	он не	3	15
16	то же	7	14
17	для него	2	13
18	но и	9	12
19	же время	5	12
20	и к	3	12
21	потому что	3	12
22	в то	6	12
23	вовсе не	3	11
24	то что	3	11
25	не только	16	10
26	в отношении	3	9
27	не в	7	9
28	самим собою	2	9
29	а не	9	9
30	героя и	5	9
31	никогда не	4	8
32	в самом	4	8
33	так же	2	8
34	точки зрения	9	8
35	и для	2	8
36	в другом	3	8
37	слова в	2	7
38	я не	2	7
39	что в	9	7
40	и даже	2	7
41	отношении к	2	7
42	этого слова	3	7
43	как будто	2	7
44	в пределах	5	6
45	от себя	3	6
46	отношение к	5	6
47	не знает	3	6
48	самим собой	3	6
49	с его	5	6
50	отношению к	4	6
51	так и	10	6
52	в себе	9	6
53	только в	6	6
54	это не	2	5
55	в конце	2	5
56	к тому	2	5
57	и что	3	5
58	того что	4	5
59	в целом	3	5
60	по отношению	4	5
61	таким образом	3	5
62	и вот	3	5
63	лишь в	6	5
64	а в	13	5
65	в диалоге	2	5
66	в одном	2	5
67	даже в	3	5
68	что и	2	5
69	в слове	3	5
70	ни был	2	4
71	с другой	7	4
72	ни в	2	4
73	при этом	12	4
74	как к	2	4
75	все эти	2	4
76	его в	2	4
77	если бы	3	4
78	как раз	2	4
79	этом смысле	2	4
80	но не	9	4
81	еще не	4	4
82	внутренней речи	13	4
83	как в	5	4
84	в мире	19	4
85	с точки	3	4
86	с другими	5	4
87	на меня	3	4
88	я в	16	4
89	и это	2	4
90	вместе с	2	4
91	не менее	4	3
92	внутренний голос	2	3
93	в том	16	3
94	в глаза	2	3
95	хотя и	3	3
96	в виду	5	3
97	с ее	3	3
98	другой стороны	5	3
99	их в	3	3
100	но он	3	3
101	говорить о	3	3
102	человека с	2	3
103	в ее	5	3
104	том что	9	3
105	по своему	2	3
106	между тем	5	3
107	в своей	6	3
108	а с	3	3
109	сводится к	5	3
110	и как	2	3
111	без исключения	4	3
112	и то	2	3
113	передо мной	2	3
114	далеко не	2	3
115	это было	2	3
116	в душе	8	2
117	тому что	2	2
118	столь же	2	2
119	или иной	4	2
120	тем не	3	2
121	в большинстве	2	2
122	мог бы	3	2
123	совпадает с	3	2
124	не является	4	2
125	один из	2	2
126	в форме	2	2
127	отличается от	2	2
128	в своем	4	2
129	я как	2	2
130	в произведениях	2	2
131	того или	3	2
132	герой не	3	2
133	сказать что	3	2
134	к которому	3	2
135	я и	2	2
136	мире и	2	2
137	обращается к	2	2
138	отнюдь не	3	2
139	однако в	7	2
140	в них	2	2
141	он должен	2	2
142	в жизни	2	2
143	не с	3	2
144	и того	3	2
145	то в	2	2
146	того же	3	2
147	слове о	2	2
148	обращены к	2	2
149	за пределы	2	2
150	и потому	2	2
151	своего рода	7	2
152	быть и	2	2
153	так в	4	2
154	слова как	3	2
155	в отличие	6	2
156	в той	2	2
157	уже не	4	2
158	к чему	2	2
159	в которой	2	2
160	между двумя	3	2
161	и ее	3	2
162	отличие от	6	2
