N	2gram	Vinokur_St_2	Sovremen
1	не может	2	17
2	точки зрения	5	12
3	может быть	2	12
4	таким образом	10	11
5	в этом	21	7
6	и в	29	7
7	и не	9	6
8	как и	2	6
9	в результате	2	6
10	ничего не	4	6
11	прежде всего	5	5
12	все эти	2	5
13	с точки	2	5
14	как бы	5	4
15	нет и	2	4
16	вместе с	7	4
17	вопрос о	6	4
18	не только	19	4
19	в том	27	4
20	из них	3	4
21	так как	2	4
22	самого начала	3	3
23	все же	6	3
24	все это	11	3
25	в конце	2	3
26	то же	2	3
27	у всех	2	3
28	в нем	4	3
29	а не	5	3
30	и к	4	3
31	у нас	3	3
32	с самого	3	3
33	не в	4	3
34	в этой	2	3
35	при этом	2	3
36	было бы	5	3
37	в одном	6	3
38	как он	2	3
39	в себе	2	3
40	само собою	2	3
41	в области	2	3
42	но в	8	3
43	и потому	2	3
44	совершенно не	2	2
45	что это	3	2
46	не менее	3	2
47	и именно	3	2
48	в некоторых	2	2
49	собою разумеется	2	2
50	в отличие	2	2
51	тем же	2	2
52	еще более	4	2
53	самом деле	3	2
54	и что	6	2
55	в и	13	2
56	и пр	8	2
57	что такое	2	2
58	на этот	2	2
59	и даже	3	2
60	и по	3	2
61	тем не	2	2
62	конечно в	2	2
63	то ни	2	2
64	но все	7	2
65	во всяком	3	2
66	времени и	4	2
67	с этим	3	2
68	как известно	2	2
69	что в	19	2
70	не дает	2	2
71	в один	2	2
72	на его	2	2
73	такого рода	2	2
74	в самом	7	2
75	в которой	11	2
76	отличие от	2	2
77	в его	13	2
78	в которую	2	2
79	всяком случае	3	2
