N	3gram	Tiupa_Narr_1	Problema
1	тем не менее	3	18
2	в данном случае	4	8
3	в таком случае	2	6
4	о том что	6	5
5	в том что	8	5
6	в то же	3	4
7	той или иной	4	4
8	точно так же	2	4
9	в связи с	2	4
10	то есть в	2	4
11	сами по себе	2	3
12	более или менее	2	3
13	с точки зрения	2	3
14	можно сказать что	4	3
15	с другой стороны	4	3
16	и тем самым	3	3
17	можно было бы	2	2
18	так же как	2	2
19	что иное как	2	2
20	того или иного	2	2
21	подобно тому как	2	2
22	не что иное	2	2
23	не может быть	5	2
24	так или иначе	2	2
