N	2gram	Medvedev_F_1	Morfolog
1	может быть	14	52
2	и т	12	49
3	т д	8	47
4	и пр	17	40
5	таким образом	13	20
6	не может	16	17
7	т е	34	16
8	с этим	2	14
9	и в	24	13
10	в этом	15	13
11	и др	5	12
12	связи с	3	11
13	прежде всего	22	9
14	так и	18	9
15	в связи	4	9
16	то же	10	9
17	и не	20	9
18	а не	10	9
19	с другой	5	8
20	по существу	2	8
21	что и	2	8
22	в результате	2	8
23	вопрос о	2	7
24	все же	3	7
25	или же	3	7
26	это не	2	6
27	и здесь	6	6
28	в том	6	6
29	но не	3	6
30	а в	6	6
31	не менее	11	5
32	если мы	2	5
33	мы увидим	4	5
34	во всех	5	5
35	как бы	6	5
36	один из	3	5
37	то что	8	5
38	мы не	3	5
39	что в	4	4
40	и как	3	4
41	вовсе не	10	4
42	отношению к	4	4
43	было бы	6	4
44	на его	2	4
45	не только	7	4
46	как в	8	4
47	как мы	5	4
48	тех же	2	4
49	так же	4	4
50	по отношению	4	4
51	как и	11	4
52	точки зрения	16	4
53	с точки	13	4
54	могла бы	2	4
55	его в	3	4
56	ничего не	2	4
57	прежде чем	2	3
58	независимо от	4	3
59	если бы	4	3
60	в нашем	2	3
61	он должен	3	3
62	же в	3	3
63	но все	2	3
64	но это	3	3
65	в целом	6	3
66	в пределах	6	3
67	как таковое	2	3
68	он не	3	3
69	ни в	2	3
70	но и	7	3
71	на него	2	3
72	от того	2	3
73	целый ряд	3	3
74	входит в	6	3
75	для этой	2	3
76	пр и	2	3
77	на самом	7	3
78	самом деле	6	3
79	друг друга	4	3
80	и ее	10	3
81	в то	9	3
82	если же	2	3
83	но в	5	3
84	и более	2	2
85	с тем	2	2
86	в частности	4	2
87	его и	2	2
88	хотя бы	5	2
89	что он	3	2
90	в различных	2	2
91	так например	3	2
92	и к	4	2
93	не с	2	2
94	совершается в	2	2
95	только в	2	2
96	в большинстве	3	2
97	для него	3	2
98	одной стороны	4	2
99	но есть	2	2
100	не от	2	2
101	одной из	2	2
102	или на	2	2
103	но для	3	2
104	в настоящее	10	2
105	оно не	4	2
106	быть и	4	2
107	или менее	6	2
108	их на	2	2
109	с одной	4	2
110	все эти	6	2
111	же происходит	3	2
112	перейти к	2	2
113	и что	2	2
114	того что	5	2
115	что такое	2	2
116	уже не	2	2
117	и его	10	2
118	как их	2	2
119	настоящее время	10	2
120	ясно что	3	2
121	здесь не	3	2
122	большинстве случаев	2	2
123	одна из	2	2
124	как это	6	2
125	более или	6	2
126	нашей работы	3	2
