N	2gram	Tiupa_Narr_1	Poddanst
1	не только	31	17
2	и в	11	14
3	и не	23	12
4	в области	2	11
5	в этом	12	10
6	то же	8	9
7	в том	8	9
8	в качестве	14	9
9	но в	7	9
10	хотя бы	2	8
11	в пределах	2	8
12	же время	4	7
13	в то	4	7
14	только в	12	7
15	но и	27	6
16	в ней	4	6
17	с другой	2	5
18	не в	6	5
19	и о	3	5
20	может быть	15	5
21	же в	2	4
22	то что	9	4
23	что в	3	4
24	если бы	7	4
25	в своем	3	4
26	не может	8	4
27	по себе	4	4
28	а в	13	4
29	том что	7	4
30	в русской	3	4
31	а также	6	4
32	как бы	6	4
33	сами по	2	3
34	в нем	4	3
35	столь же	5	3
36	это не	3	3
37	прежде всего	4	3
38	тем самым	5	3
39	для того	3	3
40	сводится к	3	3
41	мы не	3	3
42	и как	3	3
43	с ними	2	3
44	между тем	3	3
45	но не	4	3
46	точки зрения	5	3
47	в себе	6	3
48	что мы	2	3
49	потому что	5	3
50	хотя и	4	3
51	в сфере	2	2
52	не менее	3	2
53	и тем	4	2
54	в мире	4	2
55	начала и	3	2
56	для них	2	2
57	именно в	3	2
58	в частности	14	2
59	отнюдь не	2	2
60	в е	2	2
61	со стороны	8	2
62	заключает в	2	2
63	как раз	6	2
64	в жизни	3	2
65	и вот	2	2
66	а не	13	2
67	того что	4	2
68	к чему	3	2
69	точек зрения	2	2
70	если в	2	2
71	одна из	4	2
72	исключительно в	2	2
73	переход от	2	2
74	не было	3	2
75	в начале	3	2
76	из них	4	2
77	где в	2	2
78	никак не	2	2
79	да и	2	2
80	не о	2	2
81	в его	6	2
82	и с	3	2
