N	2gram	Ircho_Kome_2	Tragedij
1	и в	26	18
2	в этом	10	9
3	не только	7	8
4	и не	14	7
5	и на	7	7
6	и с	5	7
7	может быть	11	7
8	как бы	2	7
9	в образе	3	6
10	что он	5	6
11	и его	12	6
12	же время	3	6
13	у него	4	6
14	но в	3	6
15	все же	4	5
16	что это	4	5
17	так и	12	5
18	это не	2	5
19	не может	3	5
20	то же	3	5
21	как и	4	5
22	в то	6	5
23	но и	10	4
24	то что	6	4
25	в целом	4	4
26	что в	9	4
27	все это	3	4
28	прежде всего	4	4
29	и все	2	4
30	в нем	6	4
31	том что	9	4
32	в этой	3	4
33	и что	2	4
34	еще не	6	4
35	об этом	2	4
36	уже в	4	3
37	один из	5	3
38	о чем	3	3
39	отнюдь не	2	3
40	iii в	6	3
41	в своем	6	3
42	никто не	3	3
43	в конце	2	3
44	как в	3	3
45	в поле	3	3
46	к нему	3	3
47	в его	4	3
48	и сам	3	3
49	своего отца	2	3
50	как будто	4	3
51	в мире	2	3
52	как это	4	3
53	еще в	4	2
54	из самых	2	2
55	не имеет	3	2
56	что и	7	2
57	в частности	4	2
58	и за	2	2
59	в отличие	2	2
60	с г	2	2
61	и я	2	2
62	вопрос о	3	2
63	бы и	2	2
64	с его	5	2
65	отношение к	2	2
66	даже на	2	2
67	к тому	12	2
68	столь же	9	2
69	о его	4	2
70	времени в	2	2
71	и здесь	6	2
72	ни в	5	2
73	он был	2	2
74	в ее	2	2
75	в том	11	2
76	друг друга	3	2
77	отличие от	2	2
78	но все	3	2
79	так что	5	2
80	не в	2	2
81	в глазах	2	2
82	тут же	2	2
83	одна из	2	2
84	потому что	6	2
85	этим объясняется	2	2
86	в первом	2	2
87	с тем	5	2
88	тем что	3	2
89	и ее	2	2
90	по поводу	3	2
91	в это	2	2
92	о том	6	2
93	его в	4	2
94	и это	2	2
95	в самом	4	2
96	он не	2	2
97	в одном	2	2
98	что она	2	2
99	имеет в	2	2
