N	3gram	Savitsky_E_1	KulturaY
1	в том что	6	10
2	можно было бы	3	9
3	с точки зрения	16	8
4	для того чтобы	5	8
5	с другой стороны	2	7
6	во всяком случае	3	5
7	само по себе	4	5
8	в этом смысле	3	5
9	не только в	4	4
10	не может быть	2	4
11	в этом отношении	3	3
12	в то же	15	3
13	то же время	14	3
14	можно сказать что	3	2
15	на то что	2	2
16	по себе не	2	2
17	так же как	5	2
18	хотя бы и	3	2
19	с этой точки	5	2
20	в свою очередь	2	2
21	этой точки зрения	5	2
22	того или иного	4	2
23	не говоря уже	2	2
24	только в том	2	2
