N	2gram	Losev_Dial_1	Tragedij
1	и в	18	18
2	в этом	12	9
3	не только	13	8
4	он сам	5	7
5	и не	30	7
6	и с	5	7
7	может быть	17	7
8	как бы	11	7
9	что он	11	6
10	же время	4	6
11	но в	6	6
12	все же	5	5
13	что это	11	5
14	так и	9	5
15	это не	9	5
16	не может	12	5
17	то же	10	5
18	в дальнейшем	5	5
19	как и	2	5
20	в то	6	5
21	несмотря на	10	5
22	но и	7	4
23	то что	13	4
24	что в	13	4
25	он всегда	2	4
26	все это	11	4
27	я не	5	4
28	прежде всего	10	4
29	и все	3	4
30	в нем	16	4
31	и даже	13	4
32	так же	4	4
33	том что	9	4
34	но это	8	4
35	что я	3	4
36	и что	12	4
37	в себе	11	4
38	еще не	2	4
39	об этом	4	4
40	один из	3	3
41	о чем	2	3
42	отнюдь не	9	3
43	в своем	5	3
44	никто не	2	3
45	в конце	4	3
46	как в	2	3
47	все эти	2	3
48	жизнь и	3	3
49	и он	5	3
50	и как	7	3
51	к нему	8	3
52	должно быть	3	3
53	в его	3	3
54	для него	2	3
55	мог бы	2	3
56	в мире	2	3
57	как это	4	3
58	с ним	6	3
59	не имеет	15	2
60	не был	2	2
61	но они	2	2
62	что и	3	2
63	она должна	2	2
64	как же	5	2
65	раз и	2	2
66	в частности	2	2
67	состоит из	3	2
68	то и	2	2
69	даже если	3	2
70	вопрос о	2	2
71	не просто	7	2
72	но эта	3	2
73	уже не	2	2
74	бы и	2	2
75	отношение к	5	2
76	говорит что	3	2
77	к тому	4	2
78	ни в	15	2
79	в том	9	2
80	говорит о	5	2
81	но все	3	2
82	так что	15	2
83	не в	6	2
84	точно так	2	2
85	в данном	3	2
86	и то	9	2
87	потому что	14	2
88	ничем не	3	2
89	в виде	2	2
90	чем он	2	2
91	он и	2	2
92	как у	2	2
93	о том	4	2
94	и это	2	2
95	в самом	3	2
96	ничего не	17	2
97	он не	3	2
98	что она	7	2
99	никогда не	9	2
