N	2gram	Propp_Russ_1	VLabPisa
1	таким образом	6	27
2	в этом	12	26
3	и в	36	25
4	и т	10	24
5	не только	22	22
6	может быть	8	21
7	и не	6	19
8	т е	17	17
9	не может	4	17
10	в его	2	15
11	т д	9	15
12	в том	17	13
13	в частности	2	12
14	все это	6	12
15	как это	8	12
16	в силу	2	11
17	из них	8	11
18	в качестве	3	10
19	о том	8	10
20	по этому	3	9
21	к этому	4	9
22	об этом	9	9
23	что в	19	9
24	и др	4	9
25	но и	16	9
26	то же	3	9
27	все эти	2	8
28	в своем	3	8
29	могут быть	2	8
30	из этих	4	7
31	в году	2	7
32	как и	10	7
33	том что	19	7
34	во всех	4	7
35	вместе с	10	7
36	этому поводу	2	7
37	не было	2	7
38	а не	2	7
39	у него	2	6
40	это не	10	6
41	то что	6	6
42	главным образом	2	6
43	том же	2	6
44	в основном	3	6
45	в нем	2	6
46	так и	7	6
47	их в	3	6
48	между тем	7	6
49	тому что	4	5
50	он же	3	5
51	все же	5	5
52	связи с	4	5
53	как бы	5	5
54	один из	8	5
55	в их	4	5
56	приводит к	3	5
57	только в	4	5
58	к тому	4	4
59	их и	3	4
60	в одном	3	4
61	в целом	2	4
62	одна из	4	4
63	когда он	2	4
64	в них	6	4
65	в связи	4	4
66	показывают что	2	4
67	с ними	5	4
68	и к	3	3
69	во время	14	3
70	всех этих	2	3
71	с тем	8	3
72	и как	2	3
73	п в	13	3
74	у нас	8	3
75	по существу	4	3
76	что они	7	3
77	или в	2	3
78	с этим	2	3
79	например в	2	3
80	следующим образом	4	3
81	далеко не	3	3
82	что и	7	3
83	и их	4	3
84	этот вопрос	2	3
85	того что	4	3
86	пишет в	3	3
87	и по	8	3
88	так же	3	3
89	в которых	5	3
90	точки зрения	3	3
91	она не	2	3
92	из приведенных	3	3
93	не менее	3	2
94	в каждом	2	2
95	и непосредственно	2	2
96	но даже	2	2
97	в жизни	2	2
98	показывает что	5	2
99	от них	3	2
100	в целях	3	2
101	и потому	2	2
102	но не	2	2
103	в различных	2	2
104	они и	2	2
105	как известно	2	2
106	так например	6	2
107	еще не	4	2
108	мы имеем	4	2
109	сообщает о	4	2
110	к ним	3	2
111	в ней	2	2
112	что она	2	2
113	отнюдь не	2	2
114	если в	3	2
115	после этого	4	2
116	мы наблюдаем	2	2
117	между прочим	2	2
118	а в	9	2
119	в особенности	2	2
120	много и	3	2
121	начиная с	3	2
122	в течение	5	2
123	и некоторые	3	2
124	и для	2	2
125	в своих	2	2
126	хотя и	2	2
127	как например	3	2
128	будто бы	6	2
129	как он	2	2
130	в образе	2	2
131	в области	3	2
132	о чем	3	2
133	но в	2	2
134	значит что	2	2
