N	2gram	Ircho_Kome_1	VrazhdaK
1	в году	3	18
2	не только	10	9
3	в этом	3	8
4	и в	22	8
5	но и	11	7
6	что в	6	7
7	то что	2	7
8	и все	3	7
9	в котором	4	6
10	в нем	4	6
11	все же	3	6
12	и даже	5	6
13	как и	9	6
14	в начале	3	6
15	но в	4	6
16	и с	3	6
17	то же	6	5
18	и не	8	5
19	у него	3	5
20	между тем	5	5
21	в то	10	5
22	же время	4	5
23	уже в	5	4
24	все это	5	4
25	что он	6	4
26	так же	3	4
27	х годов	3	4
28	в своих	2	4
29	может быть	9	4
30	при этом	5	4
31	в истории	5	4
32	несмотря на	4	4
33	о том	8	4
34	речь идет	3	3
35	что у	2	3
36	и во	2	3
37	в конце	6	3
38	т е	13	3
39	к этому	4	3
40	на то	3	3
41	и у	3	3
42	он был	2	3
43	в том	11	3
44	раз в	2	3
45	и его	8	3
46	том что	12	3
47	и как	3	3
48	тем что	4	3
49	в его	5	3
50	его в	3	3
51	наряду с	2	3
52	но он	2	3
53	и о	3	3
54	в чем	3	3
55	он не	3	3
56	в эти	2	2
57	место в	3	2
58	после смерти	3	2
59	в известном	2	2
60	могли быть	2	2
61	в честь	3	2
62	время и	2	2
63	из них	10	2
64	не менее	3	2
65	вместе с	2	2
66	в них	3	2
67	столь же	2	2
68	как раз	3	2
69	так в	4	2
70	что к	2	2
71	не может	2	2
72	а в	6	2
73	таким образом	8	2
74	эти годы	2	2
75	в период	2	2
76	но это	2	2
77	там же	3	2
78	в в	4	2
79	не мог	3	2
80	мы знаем	2	2
81	же в	4	2
82	в этой	7	2
83	же как	3	2
84	точки зрения	4	2
85	в свою	2	2
86	и ее	3	2
87	в себе	2	2
88	отношение к	3	2
89	еще не	2	2
90	во время	5	2
91	одна из	2	2
92	а также	4	2
