N	3gram	Tiupa_Anal_3	Narrotol
1	в том что	7	8
2	с одной стороны	2	7
3	о том что	5	6
4	по отношению к	7	6
5	в отличие от	2	5
6	можно сказать что	2	4
7	той или иной	3	4
8	в данном случае	3	4
9	к тому же	3	4
10	с другой стороны	5	4
11	то же время	3	3
12	в этом отношении	3	3
13	в свою очередь	4	3
14	в то же	3	3
15	тем не менее	2	3
16	отношения к сообщаемому	2	2
17	в значительной степени	2	2
18	креативная компетенция жанра	2	2
19	как к содержанию	2	2
20	и в форме	2	2
21	индивидуального речевого замысла	2	2
22	мы имеем дело	4	2
23	так и не	5	2
24	кто говорит и	2	2
25	в конечном счете	2	2
26	со стороны адресата	2	2
27	с точки зрения	2	2
28	сказания или анекдота	2	2
29	подобно тому как	2	2
30	жанры как формы	2	2
31	в этом ряду	2	2
