N	2gram	Propp_Isto_1	Stilisti
1	и в	28	42
2	как бы	2	27
3	не только	12	27
4	прежде всего	10	22
5	хотя бы	4	17
6	но и	10	15
7	то же	12	15
8	и не	9	14
9	может быть	25	12
10	не может	15	12
11	как и	4	11
12	и как	2	10
13	что мы	7	10
14	мы должны	13	10
15	как мы	3	10
16	в этом	8	10
17	при этом	3	9
18	в то	3	9
19	то что	9	9
20	мы не	10	9
21	все же	10	8
22	в ней	7	8
23	таким образом	8	8
24	с тем	4	8
25	что же	3	8
26	в себе	2	8
27	никогда не	14	7
28	зависимости от	2	7
29	и от	2	7
30	и тем	2	7
31	и на	4	7
32	потому что	4	7
33	так как	6	7
34	в зависимости	2	7
35	было бы	7	7
36	а не	15	7
37	и его	3	7
38	только в	11	7
39	ничего не	2	7
40	точку зрения	3	6
41	другими словами	4	6
42	мы будем	5	6
43	не в	9	6
44	в этой	6	6
45	в форме	3	6
46	когда мы	2	6
47	в нем	2	6
48	во всех	2	6
49	так и	9	6
50	в области	2	6
51	мы видели	2	5
52	и их	3	5
53	а в	7	5
54	и с	4	5
55	же самое	3	5
56	как это	3	5
57	в его	5	5
58	вместе с	6	5
59	самого начала	2	4
60	что это	8	4
61	не просто	3	4
62	к тому	6	4
63	с самого	2	4
64	но все	4	4
65	в качестве	5	4
66	точка зрения	2	4
67	один из	4	4
68	все это	4	4
69	того что	4	4
70	так же	7	4
71	о том	9	4
72	его в	6	4
73	бы в	2	4
74	но в	8	4
75	не существует	2	4
76	если бы	8	4
77	были бы	2	4
78	мы видим	11	4
79	не знаем	2	4
80	мы увидим	10	4
81	себя в	2	4
82	всего в	2	4
83	на него	4	4
84	а с	2	4
85	если мы	3	4
86	к своему	2	4
87	уже не	3	4
88	и пр	4	4
89	можно было	5	4
90	на это	2	4
91	его и	2	3
92	перед нами	3	3
93	это не	7	3
94	для нас	13	3
95	здесь мы	7	3
96	в котором	3	3
97	в целом	2	3
98	из них	3	3
99	и вот	2	3
100	и даже	4	3
101	не так	2	3
102	их в	5	3
103	сказать что	5	3
104	и здесь	7	3
105	в начале	3	3
106	видели что	3	3
107	бы мы	2	3
108	вследствие этого	2	3
109	то он	2	3
110	в одном	5	3
111	об этом	4	3
112	в ее	2	3
113	том что	7	3
114	в тех	2	3
115	социальной жизни	4	3
116	еще не	7	3
117	в данной	2	3
118	мы в	2	3
119	конечно не	2	3
120	что и	6	3
121	отношения к	2	3
122	связь между	3	3
123	что такое	2	3
124	между ними	2	3
125	и для	4	3
126	то мы	4	3
127	связи с	4	3
128	не знает	5	3
129	ответ на	2	3
130	зависит от	2	2
131	в частности	2	2
132	в какой	3	2
133	будем называть	2	2
134	или даже	3	2
135	не всегда	8	2
136	вопрос о	5	2
137	как уже	2	2
138	в том	9	2
139	нас не	3	2
140	уяснить себе	2	2
141	но это	4	2
142	для него	2	2
143	в пределах	4	2
144	но мы	2	2
145	не с	3	2
146	в этих	7	2
147	в связи	4	2
148	еще и	2	2
149	все эти	4	2
150	должно быть	2	2
151	также и	3	2
152	по своей	2	2
153	мы имеем	13	2
154	к которому	5	2
155	предположим что	2	2
156	в основе	4	2
157	ни к	2	2
158	для всех	2	2
159	однако в	2	2
160	между собой	4	2
161	с этим	4	2
162	к этому	2	2
163	связанные с	2	2
164	ясно что	2	2
165	значение и	2	2
166	что он	10	2
167	даже на	2	2
168	на первый	2	2
169	видим что	9	2
170	не должен	5	2
171	ли он	3	2
172	с природой	2	2
173	представляет собой	4	2
174	но не	5	2
175	разве не	2	2
176	ни один	6	2
177	связано с	2	2
178	тот же	2	2
179	одной из	2	2
180	и когда	2	2
181	и потому	2	2
182	не есть	2	2
183	с ней	2	2
184	сих пор	5	2
185	связь с	4	2
186	как в	2	2
187	у себя	2	2
188	здесь не	4	2
189	должны были	2	2
190	первый взгляд	2	2
191	из которых	3	2
192	к чему	3	2
193	и он	3	2
194	в дальнейшем	5	2
195	с ним	2	2
196	или в	5	2
197	этот вопрос	7	2
198	тем что	3	2
199	которые в	2	2
200	в середине	2	2
