N	2gram	Voloshinov_1	Problema
1	то что	6	42
2	вовсе не	2	35
3	и в	13	32
4	и не	8	31
5	не менее	2	19
6	в этом	2	19
7	не только	6	17
8	а не	2	15
9	в себе	3	15
10	как бы	6	14
11	может быть	8	14
12	но в	4	14
13	и тем	2	13
14	в нем	2	13
15	что в	3	12
16	том что	2	12
17	так и	3	12
18	так как	3	11
19	ничего общего	3	11
20	то же	4	10
21	прежде всего	9	10
22	нет ничего	2	10
23	в том	2	9
24	но и	3	9
25	так же	2	9
26	что же	3	9
27	в данном	2	9
28	данном случае	2	8
29	не может	8	8
30	все эти	2	8
31	было бы	4	8
32	общего с	3	8
33	в своей	4	8
34	и ее	2	8
35	никогда не	3	7
36	смысле слова	2	7
37	между собою	2	7
38	и является	2	7
39	все это	4	7
40	в них	2	7
41	и все	3	7
42	тем что	2	7
43	только в	6	7
44	при этом	2	6
45	в самом	2	6
46	таким образом	6	6
47	говорить о	3	6
48	и то	3	6
49	есть не	2	6
50	за пределы	3	6
51	в его	7	6
52	самом деле	3	6
53	мы уже	2	5
54	еще и	4	5
55	мы должны	6	5
56	в сознании	4	5
57	не является	4	5
58	не в	3	4
59	и пр	7	4
60	в их	3	4
61	а в	2	4
62	если бы	2	4
63	а также	2	4
64	как в	2	4
65	входит в	2	4
66	и для	3	4
67	мы можем	4	4
68	в связи	2	4
69	уже в	2	3
70	в отношении	2	3
71	с другой	2	3
72	что они	2	3
73	в действительности	2	3
74	несмотря на	2	3
75	но для	3	3
76	хотя бы	5	3
77	и уже	3	3
78	другой стороны	2	3
79	и его	12	3
80	только и	4	3
81	с этим	3	3
82	точки зрения	7	3
83	в искусстве	3	3
84	но ведь	5	3
85	и следовательно	2	3
86	для себя	2	3
87	в ее	3	3
88	как и	3	3
89	учение о	2	3
90	к тому	2	3
91	да и	3	3
92	не на	2	3
93	во всей	2	3
94	с точки	5	3
95	в чем	2	3
96	она является	2	2
97	иное как	2	2
98	в целях	2	2
99	для него	2	2
100	себе что	2	2
101	путем отвлечения	2	2
102	только ее	2	2
103	не имеет	2	2
104	от всех	2	2
105	не как	3	2
106	может иметь	2	2
107	чем же	2	2
108	того или	2	2
109	который мы	2	2
110	и должно	2	2
111	между тем	2	2
112	сознания и	2	2
113	могут быть	2	2
114	или иного	2	2
115	конечно в	2	2
116	не что	2	2
117	мы видим	2	2
118	и при	2	2
119	и может	2	2
120	ее в	2	2
121	собственно говоря	2	2
122	но такое	2	2
123	мы не	4	2
124	в ряд	2	2
125	что иное	2	2
126	вопроса о	4	2
127	в которой	3	2
128	в области	2	2
