N	2gram	Tiupa_Hudo_1	KulturaY
1	в том	18	30
2	и в	19	24
3	потому что	3	23
4	том что	8	21
5	что в	6	17
6	того чтобы	2	17
7	для того	2	16
8	в этом	11	14
9	точки зрения	10	14
10	может быть	14	13
11	языка в	4	12
12	таким образом	3	12
13	в его	9	12
14	и не	15	12
15	не в	7	11
16	только в	5	11
17	вовсе не	2	10
18	в самом	5	10
19	не только	16	10
20	если бы	3	9
21	то что	4	9
22	прежде всего	4	9
23	отношению к	9	9
24	того что	4	9
25	с точки	3	9
26	о том	2	9
27	а только	4	8
28	по отношению	9	8
29	то же	10	8
30	уже не	4	8
31	а не	9	8
32	как раз	3	8
33	не менее	3	7
34	в них	2	7
35	с другой	7	7
36	в качестве	24	7
37	как бы	9	7
38	не может	7	7
39	это не	2	7
40	в области	6	7
41	так и	11	7
42	в какой	2	6
43	именно в	2	6
44	что он	3	6
45	при этом	13	6
46	но и	10	6
47	все это	2	6
48	другой стороны	5	6
49	все эти	2	6
50	мы имеем	6	6
51	не случайно	3	6
52	в которой	2	6
53	к тому	4	5
54	но не	11	5
55	еще не	3	5
56	например в	3	5
57	и что	3	5
58	в виду	5	5
59	в той	3	5
60	а в	12	5
61	и его	12	5
62	между тем	4	5
63	речи и	3	5
64	с ним	2	5
65	в рамках	8	4
66	с его	6	4
67	в частности	13	4
68	в этих	3	4
69	и потому	2	4
70	в нем	5	4
71	есть в	2	4
72	того же	2	4
73	в пределах	3	4
74	один из	2	4
75	что и	2	4
76	тем не	3	4
77	в целом	3	4
78	со стороны	2	4
79	как в	2	4
80	не на	3	4
81	в самой	2	4
82	тем самым	4	4
83	так же	2	4
84	и на	2	4
85	в данном	4	4
86	из этих	3	4
87	того или	3	4
88	слова и	2	4
89	состоит в	16	3
90	этом смысле	3	3
91	была бы	3	3
92	или иного	3	3
93	или иной	7	3
94	можно сказать	5	3
95	сводится к	7	3
96	в этой	2	3
97	свою очередь	2	3
98	в свою	3	3
99	этого слова	2	3
100	слова как	5	3
101	даже в	3	3
102	не с	2	3
103	что она	2	3
104	или менее	5	3
105	тому что	2	3
106	в своем	2	3
107	а с	2	3
108	в их	5	3
109	более или	5	3
110	в системе	2	3
111	с их	2	3
112	и то	4	3
113	хотя и	3	3
114	в себе	9	3
115	здесь не	2	3
116	как это	5	3
117	в одном	2	3
118	к которому	4	3
119	не все	2	2
120	я не	2	2
121	том и	2	2
122	и более	2	2
123	о чем	2	2
124	никогда не	2	2
125	по большей	2	2
126	превращается в	2	2
127	не является	4	2
128	одного и	2	2
129	так или	3	2
130	по себе	2	2
131	большей части	2	2
132	если мы	2	2
133	в то	6	2
134	и того	2	2
135	как и	2	2
136	и как	3	2
137	в сторону	2	2
138	а на	5	2
139	же время	5	2
140	знания о	2	2
141	в своей	5	2
142	по преимуществу	2	2
143	роли в	4	2
144	от себя	3	2
145	в контексте	3	2
146	к жизни	2	2
147	духовной культуры	2	2
148	к какому-либо	2	2
149	и тем	2	2
150	ее в	2	2
151	еще один	2	2
152	ни в	5	2
153	втором случае	2	2
154	дело не	2	2
155	а именно	2	2
156	он не	4	2
157	и для	2	2
158	иначе говоря	4	2
159	в слове	3	2
160	этого термина	2	2
161	лишь в	4	2
162	во втором	4	2
163	между ними	4	2
164	или в	2	2
165	или иначе	4	2
166	не столько	3	2
167	одно из	2	2
168	в каком	2	2
169	что можно	3	2
170	может служить	2	2
171	в структуре	3	2
172	заключается в	2	2
173	тогда как	13	2
174	с языком	3	2
175	но в	7	2
176	такова например	2	2
