N	3gram	Vygotskiy__5	Myshleni
1	с точки зрения	2	18
2	в том что	14	15
3	для того чтобы	19	15
4	так же точно	5	9
5	с другой стороны	5	9
6	с самого начала	3	8
7	с одной стороны	12	8
8	о том что	6	6
9	заключается в том	6	6
10	по сравнению с	4	5
11	так же как	2	5
12	нам думается что	2	5
13	мы могли бы	4	5
14	из того что	3	5
15	не может быть	2	5
16	вместе с тем	3	5
17	можно сказать что	2	4
18	в этом отношении	3	4
19	до сих пор	5	4
20	друг с другом	3	4
21	с таким образом	2	3
22	к тому что	6	3
23	сам по себе	3	3
24	на то что	16	3
25	то же самое	3	3
26	можно было бы	3	3
27	друг от друга	2	3
28	таким образом что	3	3
29	в том чтобы	2	3
30	указывает на то	2	2
31	и той же	2	2
32	не в состоянии	3	2
33	в данном случае	2	2
34	ничего не может	2	2
35	ответ на этот	2	2
36	в зависимости от	6	2
37	в сущности говоря	8	2
38	в самом деле	5	2
39	на первый план	2	2
40	мы говорили выше	2	2
41	одно и то	3	2
42	на этот вопрос	3	2
43	а с другой	4	2
44	и таким образом	2	2
45	бы сказать что	2	2
46	могли бы сказать	2	2
47	и то же	3	2
48	одной и той	2	2
49	является то что	2	2
