N	2gram	Propp_Isto_2	Myslijsy
1	потому что	9	33
2	то что	12	29
3	может быть	17	26
4	таким образом	7	24
5	в том	6	23
6	и в	15	23
7	в этом	11	23
8	и не	11	18
9	что в	12	17
10	при этом	4	15
11	только в	6	15
12	для нас	4	14
13	как и	2	14
14	в себе	4	14
15	то же	10	14
16	того что	3	14
17	так как	14	14
18	том что	7	12
19	не было	2	12
20	а не	5	12
21	но и	14	11
22	не в	7	11
23	не может	5	11
24	что мы	3	10
25	по отношению	3	10
26	не только	18	10
27	тем что	4	10
28	мы можем	8	10
29	было бы	5	8
30	то это	6	8
31	отношению к	3	8
32	другими словами	4	8
33	мы не	3	8
34	сказать что	2	8
35	о том	3	8
36	но в	6	8
37	с тем	9	7
38	по мере	3	7
39	что это	6	7
40	это не	2	7
41	на то	3	7
42	в нем	7	7
43	что и	6	7
44	в силу	2	7
45	и что	6	7
46	и т	19	7
47	могут быть	2	7
48	как в	5	7
49	с этим	5	7
50	в лес	27	6
51	вместе с	7	6
52	того как	4	6
53	когда мы	2	6
54	заметить что	2	6
55	в которой	2	6
56	так и	5	6
57	уже в	2	5
58	так что	6	5
59	в его	6	5
60	как бы	6	5
61	к нему	5	5
62	этом случае	5	5
63	все это	3	5
64	находится в	2	5
65	а в	12	5
66	и то	2	5
67	так сказать	2	5
68	на вопрос	2	4
69	и более	2	4
70	что он	24	4
71	предположить что	3	4
72	мере того	2	4
73	до сих	6	4
74	на котором	2	4
75	и может	2	4
76	но есть	2	4
77	в одном	5	4
78	в котором	5	4
79	сих пор	7	4
80	а именно	3	4
81	да и	2	4
82	тем самым	2	4
83	того чтобы	2	4
84	хотя бы	2	4
85	так же	13	4
86	с другими	2	4
87	видно что	6	4
88	его в	10	4
89	мы имеем	15	4
90	и с	4	4
91	слова в	2	3
92	при помощи	2	3
93	и есть	5	3
94	никогда не	15	3
95	связи с	8	3
96	в этих	11	3
97	и вместе	2	3
98	именно в	2	3
99	в нее	2	3
100	но это	4	3
101	кроме того	2	3
102	еще не	9	3
103	и если	2	3
104	и из	2	3
105	мы уже	6	3
106	к тому	5	3
107	например в	2	3
108	на его	2	3
109	между прочим	3	3
110	мы в	2	3
111	в виду	2	3
112	и их	2	3
113	нет ничего	2	3
114	так в	3	3
115	и только	2	3
116	т д	18	3
117	той же	2	3
118	в разных	2	3
119	все эти	4	3
120	что у	2	3
121	на самом	2	3
122	самом деле	2	3
123	и по	2	3
124	еще до	2	3
125	представления и	2	3
126	с ними	2	3
127	и на	4	3
128	в которых	2	3
129	их в	2	3
130	то мы	2	3
131	и так	2	3
132	что эти	4	3
133	на нее	2	3
134	тому как	3	2
135	во время	2	2
136	я не	2	2
137	самого начала	2	2
138	иное как	2	2
139	в другой	4	2
140	состоит в	2	2
141	превращается в	2	2
142	в состоянии	3	2
143	с другой	2	2
144	из этих	3	2
145	точно так	6	2
146	вопрос о	4	2
147	и здесь	9	2
148	чтобы понять	2	2
149	об этом	11	2
150	мы могли	2	2
151	есть и	2	2
152	после того	3	2
153	не что	2	2
154	она не	5	2
155	в сущности	2	2
156	выше мы	3	2
157	в ней	4	2
158	он не	8	2
159	и когда	2	2
160	этих случаях	10	2
161	что происходит	2	2
162	и др	4	2
163	один из	8	2
164	и это	3	2
165	пока не	4	2
166	что она	5	2
167	как она	4	2
168	и вполне	2	2
169	мы видим	8	2
170	происходит в	2	2
171	и для	2	2
172	же мы	2	2
173	хотя в	3	2
174	дело не	4	2
175	и они	4	2
176	человека в	2	2
177	здесь мы	3	2
178	эта связь	3	2
179	и его	3	2
180	в других	3	2
181	можно было	5	2
182	она и	2	2
183	к ней	2	2
184	подобно тому	3	2
185	что иное	2	2
186	мы должны	4	2
187	в таких	2	2
188	иметь в	2	2
189	из него	2	2
