N	2gram	Tiupa_Hudo_2	VeschiIm
1	т е	2	42
2	не может	4	33
3	не только	11	31
4	может быть	8	29
5	и не	18	28
6	и в	28	26
7	то что	6	24
8	и т	4	21
9	т д	2	20
10	а не	14	20
11	что я	2	16
12	что она	7	14
13	только в	4	14
14	что это	5	12
15	было бы	3	12
16	но и	9	12
17	сказать что	2	12
18	все же	2	12
19	и то	2	12
20	и ее	3	12
21	что же	2	11
22	с нею	3	11
23	то же	6	10
24	уже не	10	10
25	в ней	3	10
26	как бы	5	10
27	потому что	2	10
28	в том	15	9
29	в самом	5	9
30	и с	6	9
31	прежде всего	3	9
32	что не	2	9
33	еще и	2	9
34	себя и	2	8
35	с ее	5	8
36	в себе	9	8
37	и это	3	8
38	ничего не	5	8
39	со своим	3	7
40	говорить о	2	7
41	в то	6	7
42	его в	2	7
43	том что	19	7
44	есть и	3	7
45	себя в	8	7
46	не будет	2	7
47	как раз	4	7
48	с другими	3	7
49	в этом	13	7
50	что они	4	6
51	что в	5	6
52	для него	5	6
53	жизни и	6	6
54	ни с	2	6
55	со стороны	3	6
56	и только	2	6
57	точки зрения	2	6
58	но в	2	6
59	она не	5	6
60	бы и	4	6
61	с ним	7	6
62	можно было	3	6
63	не менее	5	5
64	это не	6	5
65	тем не	4	5
66	не в	13	5
67	еще не	3	5
68	а в	6	5
69	если бы	6	5
70	отнюдь не	2	5
71	в ее	18	5
72	одна из	2	5
73	но не	4	5
74	для себя	6	5
75	и для	2	5
76	себя с	2	5
77	на себя	3	5
78	как только	3	4
79	я не	7	4
80	в своем	5	4
81	с другой	3	4
82	как же	2	4
83	же время	4	4
84	из них	2	4
85	то и	4	4
86	о том	12	4
87	и все	7	4
88	как и	11	4
89	и о	4	4
90	оно не	2	4
91	что и	4	4
92	между ними	2	4
93	с точки	2	4
94	в данном	2	4
95	тем что	6	4
96	же не	2	4
97	никогда не	5	3
98	можно сказать	6	3
99	к тому	7	3
100	несмотря на	3	3
101	на этом	2	3
102	как о	3	3
103	и сам	5	3
104	в нем	3	3
105	отношение к	2	3
106	все это	3	3
107	внутри себя	2	3
108	к себе	3	3
109	в одном	3	3
110	в жизни	8	3
111	один из	2	3
112	что он	8	3
113	она может	2	3
114	могла бы	2	3
115	ни о	3	3
116	к ней	2	3
117	в своей	6	3
118	вместе с	2	3
119	так и	8	3
120	да и	5	3
121	только на	5	3
122	и тогда	2	3
123	а с	3	3
124	самом деле	3	3
125	того чтобы	4	3
126	хотя бы	2	3
127	тому как	4	3
128	подобно тому	4	3
129	с самим	2	3
130	в основе	2	3
131	казалось бы	6	2
132	это уже	2	2
133	в частности	7	2
134	его и	2	2
135	тому что	4	2
136	человека и	3	2
137	была бы	3	2
138	что на	3	2
139	когда же	2	2
140	знает и	2	2
141	которая была	2	2
142	мы уже	3	2
143	и уже	4	2
144	данном случае	2	2
145	во втором	2	2
146	так же	3	2
147	теперь же	3	2
148	самим собою	2	2
149	в первом	2	2
150	ли в	3	2
151	как это	7	2
152	на него	3	2
153	о которой	2	2
154	о чем	8	2
155	жизни в	7	2
156	именно так	2	2
157	превращается в	4	2
158	с собой	2	2
159	не с	2	2
160	о которых	2	2
161	то в	4	2
162	в качестве	4	2
163	но именно	2	2
164	наряду с	5	2
165	но еще	2	2
166	для нее	4	2
167	об этом	7	2
168	он не	4	2
169	как в	5	2
170	и сама	4	2
171	мысли и	2	2
172	приводит к	2	2
173	тогда как	7	2
174	как мы	2	2
175	для того	4	2
176	и его	5	2
177	той же	2	2
178	не случайно	10	2
179	на ее	3	2
180	не все	3	2
181	том как	2	2
182	это было	2	2
