N	2gram	Vygotskiy__4	PoTuStor
1	может быть	12	17
2	и в	20	16
3	прежде всего	2	9
4	таким образом	25	9
5	в этом	24	9
6	мы можем	5	9
7	и только	4	9
8	совершенно не	3	8
9	и его	5	8
10	и с	4	8
11	точки зрения	24	8
12	не может	6	8
13	сказать что	6	7
14	не только	15	7
15	и это	2	6
16	и к	5	6
17	с точки	11	6
18	самом деле	7	6
19	для него	2	6
20	при этом	12	6
21	все эти	5	5
22	что такое	5	5
23	в чем	3	5
24	ни в	3	5
25	еще не	2	5
26	как бы	7	5
27	в него	2	5
28	в нем	2	4
29	отнюдь не	3	4
30	но и	9	4
31	так и	5	4
32	мысли и	2	4
33	так как	10	4
34	и не	8	4
35	как мы	13	4
36	и на	6	4
37	в этой	3	4
38	только в	10	4
39	в один	3	4
40	его в	6	4
41	но в	3	4
42	в его	11	4
43	в этих	3	3
44	по сравнению	4	3
45	что в	19	3
46	могут быть	7	3
47	вместе с	8	3
48	никаких оснований	2	3
49	ребенка и	9	3
50	сравнению с	3	3
51	этом смысле	8	3
52	те же	6	3
53	в том	42	3
54	а в	2	3
55	том что	35	3
56	и как	9	3
57	то что	15	3
58	их в	2	3
59	в основе	17	3
60	на этом	3	3
61	только на	2	3
62	представлений и	3	3
63	едва ли	2	3
64	как это	9	3
65	в области	4	3
66	во всяком	4	3
67	между ними	4	3
68	всяком случае	3	3
69	не менее	3	2
70	этих трех	2	2
71	один из	3	2
72	не могут	3	2
73	что и	9	2
74	не есть	2	2
75	в развитии	25	2
76	же как	6	2
77	другими словами	2	2
78	в частности	5	2
79	никогда не	5	2
80	между собой	5	2
81	если мы	10	2
82	того же	9	2
83	во всей	4	2
84	вообще не	2	2
85	с этой	4	2
86	из этих	2	2
87	с этим	5	2
88	в свое	2	2
89	то же	16	2
90	что оно	4	2
91	к этому	4	2
92	не знает	2	2
93	и других	3	2
94	с помощью	31	2
95	является по	2	2
96	что он	6	2
97	этой теории	4	2
98	и т.п	2	2
99	что на	2	2
100	что мы	7	2
101	на первый	4	2
102	у него	2	2
103	и для	4	2
104	для нас	4	2
105	ранних ступенях	2	2
106	момента в	2	2
107	как и	9	2
108	понятия и	9	2
109	на основе	10	2
110	возникает в	4	2
111	они не	2	2
112	мы видим	10	2
113	так же	11	2
114	друг на	5	2
115	мы уже	5	2
116	по своему	4	2
117	эти понятия	3	2
118	образов и	2	2
119	в каком	2	2
120	существует только	2	2
121	на друга	5	2
122	в начале	2	2
123	ту же	2	2
124	было бы	8	2
125	со всеми	3	2
126	что это	2	2
127	о том	5	2
128	в самом	6	2
129	но как	2	2
130	в своей	7	2
