N	2gram	Propp_Isto_4	Narrotol
1	не только	15	31
2	но и	12	27
3	и не	9	23
4	при этом	3	19
5	может быть	14	15
6	в частности	2	14
7	в качестве	7	14
8	в тексте	2	13
9	как и	7	13
10	а не	6	13
11	а в	8	13
12	только в	3	12
13	в этом	7	12
14	и в	26	11
15	в данном	3	11
16	такого рода	2	10
17	и его	10	10
18	тогда как	4	10
19	то что	16	9
20	то же	8	8
21	в том	3	8
22	данном случае	3	8
23	не может	6	8
24	уже не	5	8
25	представляет собой	2	8
26	если бы	2	7
27	у него	5	7
28	том что	3	7
29	но в	5	7
30	об этом	7	6
31	а также	3	6
32	не в	5	6
33	и он	3	6
34	не мог	3	6
35	как бы	3	6
36	или в	3	6
37	в себе	2	6
38	в его	5	6
39	в этой	2	6
40	перед нами	3	5
41	в своей	4	5
42	так и	10	5
43	и на	2	5
44	потому что	6	5
45	между двумя	12	5
46	о чем	3	4
47	никогда не	2	4
48	из этих	3	4
49	к себе	3	4
50	что на	2	4
51	все же	9	4
52	но не	5	4
53	еще не	6	4
54	у нее	2	4
55	к нему	6	4
56	и тем	2	4
57	в нем	2	4
58	из них	2	4
59	не по	2	4
60	по себе	2	4
61	как в	7	4
62	так в	4	4
63	того что	2	4
64	хотя и	2	4
65	на себя	4	4
66	что у	3	4
67	о том	4	4
68	одна из	2	4
69	в одном	5	4
70	не менее	2	3
71	что в	14	3
72	это уже	2	3
73	однако в	2	3
74	в своем	2	3
75	это не	5	3
76	не всегда	6	3
77	что он	10	3
78	тем не	2	3
79	у нас	2	3
80	и как	5	3
81	не говорит	2	3
82	в целом	2	3
83	но для	2	3
84	он не	7	3
85	в современной	2	3
86	лишь в	2	3
87	героя в	7	3
88	и то	6	3
89	их в	7	3
90	и с	5	3
91	в русской	3	3
92	и все	2	3
93	представляют собой	4	3
94	как это	3	3
95	могло бы	2	3
96	мы имеем	7	3
97	этого не	2	2
98	в этих	7	2
99	его и	2	2
100	а на	4	2
101	не могло	2	2
102	на то	3	2
103	своей матери	2	2
104	ему в	2	2
105	как мы	5	2
106	а по	4	2
107	же в	3	2
108	с появлением	4	2
109	все что	4	2
110	между ними	3	2
111	до сих	5	2
112	она не	3	2
113	к ним	2	2
114	он уже	2	2
115	в роли	2	2
116	не имеет	3	2
117	хотя бы	2	2
118	или просто	2	2
119	себя в	2	2
120	вместе с	6	2
121	дело не	2	2
122	сих пор	5	2
123	в форме	2	2
124	другой стороны	4	2
125	только что	3	2
126	в связи	2	2
127	и только	5	2
128	в особенности	2	2
129	и вот	2	2
130	и даже	4	2
131	с другой	4	2
132	ничего не	5	2
133	с ними	5	2
134	сказать что	2	2
135	мы можем	6	2
136	связи с	3	2
137	что мы	3	2
138	же самое	2	2
139	здесь не	4	2
140	в области	2	2
