N	2gram	Medvedev_F_3	VelikijI
1	и не	30	20
2	и в	27	16
3	то что	8	9
4	так как	9	9
5	еще не	6	8
6	в истории	5	8
7	что они	5	7
8	и потому	5	7
9	на земле	2	7
10	а не	17	7
11	человека и	2	6
12	не есть	4	6
13	как бы	8	5
14	но и	10	5
15	все это	7	5
16	того что	3	5
17	что он	6	4
18	в нем	15	4
19	как и	14	4
20	они будут	2	4
21	в котором	2	4
22	так и	21	4
23	потому что	7	4
24	в этом	18	4
25	в ней	5	4
26	говорить о	2	4
27	и все	8	4
28	в его	7	4
29	с его	2	3
30	должна быть	3	3
31	что в	8	3
32	в этих	3	3
33	в них	3	3
34	превращается в	2	3
35	в конце	3	3
36	в жизни	11	3
37	ни в	8	3
38	в том	7	3
39	не в	12	3
40	но это	2	3
41	к тому	4	3
42	во всех	3	3
43	никогда не	5	3
44	оно не	3	3
45	что и	2	3
46	жизни и	4	3
47	как не	2	3
48	в своей	6	3
49	бы и	3	3
50	тому что	3	3
51	лишь в	9	3
52	и что	3	3
53	хотя бы	6	3
54	и для	6	3
55	их в	3	3
56	от этого	2	3
57	все эти	6	3
58	но в	6	3
59	и теперь	6	2
60	не могут	10	2
61	с тем	7	2
62	человека как	2	2
63	его и	3	2
64	это не	3	2
65	прежде всего	4	2
66	ее и	2	2
67	для нас	3	2
68	да и	4	2
69	том что	4	2
70	а к	2	2
71	мы и	3	2
72	одна из	2	2
73	от него	2	2
74	но не	5	2
75	они и	3	2
76	в последнем	2	2
77	конечно не	4	2
78	для них	7	2
79	того чтобы	5	2
80	и во	2	2
81	не только	9	2
82	нет и	3	2
83	и т	11	2
84	ее в	3	2
85	и тогда	2	2
86	т д	6	2
87	тем что	5	2
88	мы не	4	2
89	уже не	3	2
90	между тем	7	2
91	является в	2	2
92	могут быть	4	2
93	только в	8	2
94	превращаются в	2	2
95	от этих	2	2
96	и это	2	2
97	во всяком	6	2
