N	2gram	Vinokur_Vv_1	Mirosoze
1	и в	27	46
2	в нем	13	22
3	может быть	24	21
4	в этом	34	20
5	никогда не	3	18
6	и не	13	18
7	не только	21	18
8	есть лишь	2	17
9	но и	5	15
10	не может	13	15
11	как и	5	13
12	не есть	4	13
13	а не	3	13
14	прежде всего	8	12
15	потому что	14	12
16	в ней	3	11
17	у нас	2	11
18	но в	10	10
19	в себе	4	10
20	не в	8	9
21	любовь к	4	8
22	и есть	3	8
23	как бы	5	8
24	в своем	3	8
25	так как	13	8
26	отношение к	3	8
27	связана с	4	7
28	в этой	3	7
29	что он	4	7
30	хотя бы	5	7
31	и для	4	7
32	он сам	3	6
33	вопрос о	8	6
34	что это	3	6
35	так же	3	6
36	того что	12	6
37	жизни и	2	6
38	то же	8	5
39	бы и	2	5
40	в отношении	2	5
41	и вот	3	5
42	совсем не	3	5
43	в самом	12	5
44	один из	6	5
45	что она	3	5
46	это не	8	5
47	в конце	3	5
48	есть не	3	5
49	во всем	2	5
50	к тому	4	5
51	то что	17	5
52	в своей	4	5
53	для того	21	5
54	и его	5	5
55	в его	10	5
56	и это	6	5
57	что в	11	4
58	тому что	2	4
59	для этого	3	4
60	до конца	3	4
61	не имеет	4	4
62	также и	16	4
63	том что	26	4
64	должен быть	4	4
65	что и	3	4
66	себя в	2	4
67	т е	38	4
68	уже не	5	4
69	того чтобы	21	4
70	же как	3	3
71	в каждом	4	3
72	в том	31	3
73	лишь как	2	3
74	смысле слова	7	3
75	не мог	2	3
76	в своих	2	3
77	и на	3	3
78	сказать что	5	3
79	и с	2	3
80	что иное	4	3
81	о том	15	3
82	его в	6	3
83	как он	6	3
84	иное как	5	3
85	не существует	2	3
86	если бы	2	3
87	в них	4	3
88	не что	4	3
89	есть и	4	3
90	до сих	5	3
91	не бывает	2	3
92	на почве	5	3
93	сих пор	5	3
94	от того	3	3
95	и тогда	3	3
96	того как	3	3
97	той же	4	3
98	тем что	6	3
99	только в	13	3
100	отношении к	2	3
101	только с	3	3
102	в чем	4	3
103	что нет	2	3
104	уже в	5	2
105	науки и	2	2
106	в этих	3	2
107	да и	4	2
108	так что	5	2
109	это есть	2	2
110	такого рода	2	2
111	и той	2	2
112	она есть	5	2
113	хотя и	3	2
114	к нему	2	2
115	не к	2	2
116	этот процесс	3	2
117	по отношению	4	2
118	народа как	2	2
119	в разных	5	2
120	и других	3	2
121	стоит в	2	2
122	должно быть	2	2
123	а в	5	2
124	и те	2	2
125	в более	2	2
126	точки зрения	7	2
127	е в	4	2
128	между тем	8	2
129	на этом	3	2
130	наук и	3	2
131	есть еще	2	2
132	не до	2	2
133	тогда когда	3	2
134	по себе	9	2
135	связи с	3	2
136	чем в	3	2
137	после того	2	2
138	и что	4	2
139	себе и	2	2
140	в сущности	3	2
141	во всех	2	2
142	отношению к	4	2
143	вместе с	6	2
144	быть и	2	2
145	что же	3	2
146	в центре	4	2
147	но с	4	2
148	одной и	2	2
149	что не	5	2
150	вот почему	3	2
151	можно было	7	2
152	от этого	5	2
153	как будто	3	2
154	ничего не	2	2
