N	2gram	Losev_Dial_4	Analitik
1	не только	8	22
2	и в	15	18
3	как и	7	14
4	так и	5	14
5	в этом	11	14
6	но и	4	13
7	и его	7	13
8	в частности	2	12
9	том что	10	12
10	в качестве	2	12
11	и не	30	12
12	при этом	2	11
13	как бы	14	10
14	может быть	17	9
15	со стороны	3	9
16	что в	7	9
17	а не	18	9
18	в том	11	9
19	с его	5	8
20	и даже	6	8
21	в его	4	7
22	как раз	4	7
23	не в	8	6
24	еще не	4	6
25	в этой	4	6
26	в их	3	6
27	о том	5	6
28	никогда не	2	5
29	однако в	2	5
30	прежде всего	11	5
31	в свою	3	5
32	в самом	2	5
33	что и	6	5
34	другой стороны	2	5
35	в сущности	5	5
36	лишь в	2	5
37	уже не	9	5
38	той же	5	5
39	в результате	6	5
40	мы имеем	5	5
41	не менее	2	4
42	перед нами	6	4
43	отнюдь не	4	4
44	в своем	5	4
45	по крайней	7	4
46	в одном	4	4
47	по себе	13	4
48	что он	7	4
49	можно сказать	5	4
50	и как	4	4
51	себя в	2	4
52	свою очередь	2	4
53	не есть	40	4
54	крайней мере	7	4
55	все же	2	4
56	таким образом	5	4
57	тем самым	3	4
58	и на	5	4
59	в данном	3	4
60	что по	2	4
61	и без	2	3
62	из этих	2	3
63	личности в	5	3
64	к этому	3	3
65	не всегда	3	3
66	его как	2	3
67	в ее	2	3
68	что они	4	3
69	было бы	9	3
70	же время	6	3
71	только не	3	3
72	с их	4	3
73	той или	4	3
74	к жизни	3	3
75	с ее	10	3
76	не будет	2	3
77	как в	3	3
78	все это	9	3
79	то же	9	3
80	не было	2	3
81	именно в	5	3
82	что не	3	3
83	поскольку он	2	3
84	мы не	9	3
85	ничего не	17	3
86	с этим	3	3
87	точки зрения	14	3
88	подобно тому	4	3
89	но как	2	3
90	говорить о	11	3
91	во всем	2	3
92	в то	6	3
93	жизнь и	2	3
94	в особенности	4	3
95	едва ли	3	3
96	как это	2	3
97	сама по	5	2
98	в противоположность	2	2
99	е о	3	2
100	как формы	3	2
101	бы и	3	2
102	могут быть	3	2
103	для всех	3	2
104	все эти	3	2
105	в них	2	2
106	это не	12	2
107	но они	2	2
108	не как	4	2
109	в жизни	5	2
110	в нем	5	2
111	есть не	5	2
112	и ее	8	2
113	тем не	2	2
114	да и	2	2
115	говорит о	3	2
116	субъекта и	5	2
117	то в	5	2
118	осуществляется в	2	2
119	с тем	4	2
120	это и	9	2
121	совершенно не	3	2
122	и той	3	2
123	хотя и	6	2
124	в ней	5	2
125	об этом	3	2
126	и потому	3	2
127	не видно	2	2
128	один из	4	2
129	то что	16	2
130	когда он	3	2
131	во всех	2	2
132	в сравнении	3	2
133	вместе с	2	2
134	что она	5	2
135	не может	11	2
136	есть имя	2	2
137	в глубине	2	2
138	отношения к	3	2
139	одной и	3	2
140	в себя	5	2
141	и вот	11	2
142	тем или	2	2
143	не мог	2	2
144	с точки	9	2
145	и по	2	2
146	и для	5	2
147	сравнении с	2	2
148	тому как	4	2
149	сказать что	6	2
150	во всяком	2	2
151	мы можем	3	2
152	тем что	2	2
153	личности и	10	2
154	в себе	8	2
155	что мы	7	2
156	только в	7	2
157	и все	11	2
158	в свое	2	2
159	отличие от	2	2
160	но в	3	2
