N	2gram	Nazirov_Vr_1	Sovremen
1	не может	2	17
2	точки зрения	2	12
3	может быть	4	12
4	таким образом	2	11
5	в этом	8	7
6	и в	8	7
7	и не	5	6
8	как и	6	6
9	с точки	2	5
10	как бы	4	4
11	вместе с	2	4
12	это не	4	4
13	а в	2	4
14	не только	9	4
15	в том	3	4
16	их в	2	4
17	из них	2	4
18	уже в	4	3
19	все же	6	3
20	отнюдь не	2	3
21	все это	4	3
22	в конце	3	3
23	то же	5	3
24	в нем	6	3
25	для нас	4	3
26	в этой	2	3
27	одна из	2	3
28	еще не	2	3
29	при этом	4	3
30	и все	7	3
31	в себе	2	3
32	но в	6	3
33	не менее	2	2
34	у него	5	2
35	и во	3	2
36	уже не	2	2
37	в свою	2	2
38	и что	8	2
39	и даже	6	2
40	мы знаем	2	2
41	что в	7	2
42	по мнению	2	2
43	в его	3	2
