N	2gram	Nazirov_Vr_1	Tragedij
1	и в	8	18
2	петра верховенского	2	17
3	в романе	6	10
4	в году	18	9
5	в этом	8	9
6	в бесах	10	9
7	не только	9	8
8	он сам	2	7
9	и не	5	7
10	достоевский в	8	7
11	и с	6	7
12	петр верховенский	3	7
13	может быть	4	7
14	как бы	4	7
15	что он	4	6
16	и его	3	6
17	же время	5	6
18	у него	5	6
19	но в	6	6
20	все же	6	5
21	это не	4	5
22	не может	2	5
23	то же	5	5
24	как и	6	5
25	у достоевского	4	5
26	в то	5	5
27	несмотря на	4	5
28	но и	7	4
29	то что	7	4
30	что в	7	4
31	все это	4	4
32	я не	3	4
33	и все	7	4
34	в нем	6	4
35	и даже	6	4
36	так же	4	4
37	том что	3	4
38	но это	2	4
39	в этой	2	4
40	что я	2	4
41	и что	8	4
42	достоевский не	3	4
43	что достоевский	4	4
44	в себе	2	4
45	еще не	2	4
46	об этом	5	4
47	уже в	4	3
48	достоевского в	7	3
49	о чем	2	3
50	отнюдь не	2	3
51	достоевский уже	3	3
52	в своем	3	3
53	в конце	3	3
54	ставрогина и	3	3
55	и он	2	3
56	и как	3	3
57	сам достоевский	3	3
58	в его	3	3
59	для него	2	3
60	при этом	4	3
61	в мире	2	3
62	с ним	4	3
63	как же	2	2
64	права на	2	2
65	по мнению	2	2
66	уже не	2	2
67	с его	3	2
68	отношение к	2	2
69	ставрогина он	3	2
70	столь же	2	2
71	роман достоевского	2	2
72	он был	3	2
73	в том	3	2
74	в глазах	2	2
75	и дети	2	2
76	что князь	3	2
77	году в	2	2
78	и то	2	2
79	одна из	2	2
80	тем что	3	2
81	и ее	2	2
82	в письмах	2	2
83	в это	2	2
84	о том	4	2
85	его в	3	2
86	и это	2	2
87	отцы и	2	2
88	и детей	4	2
89	не мог	2	2
90	он не	3	2
91	никогда не	2	2
