N	2gram	Berdyaev_M_1	VeschiIm
1	не есть	9	49
2	т е	2	42
3	не может	28	33
4	не только	29	31
5	может быть	30	29
6	это –	16	29
7	и не	11	28
8	и в	28	26
9	то что	5	24
10	и есть	14	23
11	это значит	3	22
12	значит что	4	22
13	а не	25	20
14	есть только	2	17
15	только в	6	14
16	и что	2	13
17	того что	7	13
18	было бы	10	12
19	но и	25	12
20	сказать что	2	12
21	есть не	4	12
22	все же	2	12
23	уже не	4	10
24	в ней	15	10
25	как бы	2	10
26	потому что	16	10
27	не значит	2	10
28	в том	6	9
29	в самом	11	9
30	и с	3	9
31	прежде всего	10	9
32	себя и	3	8
33	в себе	7	8
34	и это	12	8
35	ничего не	3	8
36	– не	5	7
37	в свете	3	7
38	также и	2	7
39	в то	2	7
40	его в	3	7
41	так как	3	7
42	том что	3	7
43	есть и	3	7
44	себя в	3	7
45	и их	3	7
46	в этом	20	7
47	и как	2	6
48	это есть	3	6
49	что в	10	6
50	для него	11	6
51	но если	3	6
52	жизни и	2	6
53	ни с	4	6
54	отличается от	2	6
55	должно быть	3	6
56	точки зрения	4	6
57	когда мы	2	6
58	но в	7	6
59	она не	4	6
60	относится к	2	6
61	бы и	3	6
62	с ним	2	6
63	должна быть	6	5
64	вообще не	2	5
65	это не	5	5
66	с этой	4	5
67	не в	16	5
68	только и	3	5
69	а в	4	5
70	с тем	9	5
71	если бы	2	5
72	в свою	2	5
73	в ее	3	5
74	у нас	5	5
75	это и	4	5
76	но не	8	5
77	и для	2	5
78	в своем	10	4
79	и мы	2	4
80	в их	4	4
81	что есть	5	4
82	быть не	2	4
83	с этим	3	4
84	о том	2	4
85	не существует	2	4
86	и все	10	4
87	как и	5	4
88	и потому	10	4
89	нет и	5	4
90	должен быть	2	4
91	что и	4	4
92	тем что	4	4
93	никогда не	14	3
94	вопрос о	2	3
95	к тому	3	3
96	на этом	3	3
97	момент в	2	3
98	в нем	13	3
99	отношение к	4	3
100	все это	6	3
101	отношения к	4	3
102	даже и	2	3
103	в жизни	3	3
104	один из	4	3
105	что он	10	3
106	она может	2	3
107	мы видим	2	3
108	к ней	4	3
109	в своей	15	3
110	вместе с	6	3
111	в той	2	3
112	бы в	2	3
113	того чтобы	2	3
114	хотя бы	3	3
115	с самим	2	3
116	в основе	2	3
117	может не	2	2
118	человека и	14	2
119	есть уже	4	2
120	в самой	7	2
121	и нет	2	2
122	мог бы	4	2
123	в виду	2	2
124	только один	2	2
125	только одно	3	2
126	и вот	3	2
127	не мог	3	2
128	в более	2	2
129	самого себя	2	2
130	то есть	3	2
131	с которой	2	2
132	от этого	2	2
133	о чем	2	2
134	жизни в	2	2
135	и во	2	2
136	если он	5	2
137	с собой	3	2
138	различие между	2	2
139	себе и	2	2
140	он не	24	2
141	и когда	2	2
142	и этот	4	2
143	когда он	3	2
144	как в	2	2
145	и сама	2	2
146	мысли и	2	2
147	приводит к	2	2
148	для того	2	2
149	и мира	3	2
150	к чему	2	2
151	и его	9	2
152	отношении к	2	2
153	не все	2	2
