N	2gram	Bakhtin_Pr_3	slovoVRo
1	чужого слова	5	40
2	и в	34	39
3	может быть	19	37
4	и т	8	35
5	и его	16	33
6	т п	6	33
7	не только	10	24
8	и не	29	22
9	но и	12	21
10	не может	19	20
11	в нем	19	19
12	до конца	3	17
13	все это	16	16
14	в этом	16	16
15	так и	6	15
16	его слово	4	15
17	а не	9	14
18	человек и	2	14
19	слова в	7	13
20	как в	4	13
21	отличие от	2	13
22	в пределах	6	13
23	во всех	2	12
24	в отличие	2	12
25	слово в	2	11
26	чужое слово	2	10
27	вовсе не	11	10
28	к своему	5	9
29	не в	9	9
30	и с	15	9
31	прежде всего	15	8
32	словом и	3	8
33	слова и	10	8
34	таким образом	5	8
35	точки зрения	8	8
36	с его	6	7
37	при этом	4	7
38	для него	13	7
39	еще не	4	7
40	его слова	3	7
41	пределах одного	2	7
42	в его	22	7
43	как бы	27	7
44	никогда не	8	7
45	и потому	2	7
46	и даже	7	7
47	как мы	7	7
48	с ним	8	7
49	в него	3	7
50	человек в	2	6
51	в них	2	6
52	и к	12	6
53	этом случае	2	6
54	все же	7	6
55	как и	18	6
56	в своем	2	6
57	но не	4	6
58	в большинстве	2	6
59	в сущности	11	6
60	жизни и	3	6
61	там где	7	6
62	все эти	4	6
63	в слове	5	6
64	так сказать	2	6
65	но в	16	6
66	с другой	4	5
67	это не	5	5
68	и для	8	5
69	и все	19	5
70	и слова	2	5
71	со словом	3	5
72	по себе	3	5
73	том что	3	5
74	но все	5	5
75	или иной	2	5
76	своему предмету	6	5
77	только в	6	5
78	в том	3	5
79	например в	2	5
80	той или	2	5
81	один из	2	5
82	слова его	2	5
83	уже не	2	5
84	и наконец	5	5
85	с ними	6	5
86	остается в	2	5
87	от него	6	5
88	героя и	9	5
89	конечно не	2	5
90	большинстве случаев	3	5
91	в плане	6	5
92	не менее	3	4
93	всех этих	2	4
94	себя и	8	4
95	и мир	2	4
96	ни в	4	4
97	отношению к	6	4
98	же время	12	4
99	наконец в	3	4
100	слова не	2	4
101	сливается с	3	4
102	в отношении	9	4
103	по отношению	5	4
104	для этого	3	4
105	входит в	2	4
106	то же	14	4
107	что оно	2	4
108	в той	2	4
109	а в	5	4
110	с другими	4	4
111	слова с	3	4
112	и на	6	4
113	даже и	4	4
114	в то	12	4
115	отношении к	7	4
116	отношение к	6	4
117	его в	4	4
118	во всем	3	4
119	так как	4	4
120	или как	2	4
121	в роман	2	3
122	что в	7	3
123	хотя бы	5	3
124	установкой на	3	3
125	и от	5	3
126	в романах	3	3
127	не с	2	3
128	сама по	2	3
129	что и	5	3
130	точек зрения	2	3
131	но это	4	3
132	него нет	2	3
133	на этом	4	3
134	у него	4	3
135	и как	3	3
136	как к	4	3
137	в ней	3	3
138	как для	2	3
139	авторское слово	2	3
140	со всею	2	3
141	к нему	14	3
142	быть и	2	3
143	бы и	4	3
144	стремится к	6	3
145	лишь в	5	3
146	героя в	5	3
147	с точки	4	3
148	той же	2	3
149	рядом с	4	3
150	и создает	2	3
151	связан с	2	3
152	сказать что	2	3
153	между тем	3	3
154	к чужому	4	3
155	говорить о	3	3
156	в чем	5	3
157	во всяком	5	3
158	уже в	3	2
159	два голоса	3	2
160	не было	2	2
161	хотя и	3	2
162	однако в	2	2
163	его и	3	2
164	а вовсе	2	2
165	но он	3	2
166	а просто	2	2
167	конечно в	2	2
168	с которым	7	2
169	в себе	6	2
170	что он	23	2
171	с ее	3	2
172	слова о	4	2
173	более того	2	2
174	на протяжении	5	2
175	свое слово	4	2
176	и слово	8	2
177	громадное значение	2	2
178	слово героя	4	2
179	мы увидим	2	2
180	себе как	2	2
181	со всеми	2	2
182	мы уже	6	2
183	в диалогах	4	2
184	за пределы	2	2
185	дело идет	5	2
186	диалог в	2	2
187	же и	2	2
188	к ней	2	2
189	лишь о	3	2
190	о нем	2	2
191	слова как	2	2
192	всяком случае	5	2
193	даже в	5	2
194	которого он	3	2
195	с таким	4	2
196	на его	4	2
197	мы видели	3	2
198	то что	11	2
199	слово слово	2	2
200	входят в	2	2
201	вместе с	4	2
202	те же	2	2
203	на него	7	2
204	оно стремится	3	2
205	и внутренне	2	2
206	в форме	2	2
207	отличается от	2	2
208	всем этим	2	2
209	так в	2	2
210	себя то	2	2
211	с этим	2	2
212	т д	2	2
213	особенно в	2	2
214	в виде	4	2
215	которых мы	2	2
216	еще более	2	2
217	чем не	2	2
218	на них	5	2
219	это и	2	2
220	как слово	2	2
221	по замыслу	12	2
222	слов в	3	2
223	свой голос	2	2
224	выступает здесь	2	2
225	в речах	8	2
226	он не	15	2
227	нуждается в	3	2
228	эти слова	3	2
229	далеко не	3	2
230	и стилей	2	2
231	но как	4	2
232	ведь и	3	2
233	в другом	8	2
234	не знает	6	2
235	о том	2	2
236	как он	3	2
237	которые в	2	2
238	почти все	2	2
239	только с	3	2
240	в одном	5	2
241	вне себя	2	2
