N	2gram	Trubetskoy_1	slovoVRo
1	и в	23	39
2	может быть	16	37
3	то есть	2	26
4	не только	7	24
5	и не	8	22
6	но и	9	21
7	не может	17	20
8	в нем	3	19
9	все это	11	16
10	в этом	12	16
11	так и	10	15
12	отличие от	3	13
13	в процессе	2	13
14	во всех	10	12
15	в истории	3	11
16	вовсе не	2	10
17	не в	8	9
18	и с	5	9
19	прежде всего	3	8
20	таким образом	31	8
21	точки зрения	13	8
22	при этом	9	7
23	для него	2	7
24	еще не	5	7
25	в его	5	7
26	как бы	10	7
27	никогда не	4	7
28	в этих	3	7
29	и потому	3	7
30	как мы	2	7
31	с ним	6	7
32	в них	2	6
33	и к	5	6
34	этом случае	4	6
35	все же	13	6
36	как и	9	6
37	в своем	10	6
38	но не	2	6
39	она не	2	6
40	в сущности	2	6
41	жизни и	2	6
42	все эти	19	6
43	но в	4	6
44	не могут	4	5
45	с другой	6	5
46	это не	3	5
47	и для	6	5
48	и все	7	5
49	для нас	3	5
50	том что	19	5
51	но все	5	5
52	одной стороны	2	5
53	только в	6	5
54	в том	30	5
55	и их	5	5
56	с одной	3	5
57	и наконец	3	5
58	с ними	2	5
59	от него	3	5
60	конечно не	3	5
61	не менее	7	4
62	всех этих	4	4
63	себя и	2	4
64	отношению к	9	4
65	же время	2	4
66	одна из	2	4
67	на почве	3	4
68	по отношению	9	4
69	для этого	7	4
70	то же	4	4
71	что оно	3	4
72	и других	2	4
73	в таком	4	4
74	а в	3	4
75	и на	6	4
76	в основе	2	4
77	в то	6	4
78	отношение к	4	4
79	его в	5	4
80	во всем	3	4
81	так как	7	4
82	борьбы с	2	3
83	что в	8	3
84	точку зрения	2	3
85	хотя бы	4	3
86	и от	5	3
87	должна быть	5	3
88	в свою	2	3
89	что и	7	3
90	из себя	10	3
91	связи с	4	3
92	на этом	2	3
93	у него	5	3
94	как к	5	3
95	в ней	3	3
96	как для	3	3
97	к нему	2	3
98	быть и	5	3
99	лишь в	5	3
100	с точки	8	3
101	между тем	12	3
102	и социальной	2	3
103	говорить о	2	3
104	ту же	2	3
105	во всяком	2	3
106	чем в	3	2
107	может не	3	2
108	а лишь	2	2
109	в данном	3	2
110	не было	2	2
111	и более	2	2
112	независимо от	2	2
113	хотя и	4	2
114	в нашем	3	2
115	тогда когда	3	2
116	тот факт	4	2
117	конечно в	2	2
118	в себе	5	2
119	что он	7	2
120	с ее	2	2
121	в одно	2	2
122	в дальнейшем	2	2
123	мы сказали	3	2
124	более или	7	2
125	свою очередь	2	2
126	лишь при	4	2
127	все что	9	2
128	мы уже	4	2
129	на каждом	2	2
130	лишь о	2	2
131	и проч	4	2
132	всяком случае	2	2
133	лишь тогда	2	2
134	даже в	3	2
135	и особенно	2	2
136	сих пор	8	2
137	работы и	2	2
138	мы видели	2	2
139	то что	18	2
140	вместе с	6	2
141	те же	2	2
142	все они	5	2
143	на него	2	2
144	пор не	2	2
145	или менее	7	2
146	в их	4	2
147	отличается от	6	2
148	в связи	3	2
149	с этим	11	2
150	в виде	4	2
151	которых мы	3	2
152	именно в	5	2
153	в себя	2	2
154	они не	2	2
155	того чтобы	8	2
156	для того	8	2
157	одним из	4	2
158	меньше чем	2	2
159	также и	2	2
160	в результате	9	2
161	и при	6	2
162	он не	3	2
163	далеко не	5	2
164	но как	2	2
165	в другом	2	2
166	не знает	2	2
167	факт что	4	2
168	о том	7	2
169	почти все	2	2
170	в области	4	2
171	из него	2	2
172	до сих	8	2
