N	3gram	Tiupa_Teor_1	Narrotol
1	в том что	8	8
2	в данном случае	5	6
3	не сводится к	4	6
4	в отличие от	6	5
5	по отношению к	4	5
6	с одной стороны	2	5
7	состоит в том	5	4
8	тем не менее	3	4
9	можно сказать что	2	3
10	в конечном счете	6	3
11	то же время	5	3
12	в то же	5	3
13	в соответствии с	2	3
14	к тому что	2	3
15	того или иного	3	3
16	присутствия я в	6	2
17	тогда как в	2	2
18	по своей природе	2	2
19	с точки зрения	3	2
20	не может быть	4	2
21	и тем самым	2	2
22	я в мире	7	2
23	в равной степени	3	2
24	не только не	2	2
25	мы имеем дело	2	2
