N	2gram	Trubetskoy_1	Marksizm
1	может быть	10	28
2	и в	26	19
3	как бы	12	19
4	и не	8	19
5	не может	4	18
6	в процессе	2	18
7	точки зрения	13	17
8	то же	4	16
9	в этом	15	15
10	таким образом	22	14
11	лишь в	5	14
12	не только	10	13
13	с точки	6	13
14	связи с	9	13
15	в нем	4	11
16	если бы	3	11
17	не в	2	10
18	но и	9	10
19	том что	7	10
20	так и	6	10
21	для него	3	9
22	при этом	3	9
23	а не	5	9
24	же время	2	8
25	в то	4	8
26	с его	2	8
27	отношению к	3	8
28	только в	4	8
29	никогда не	5	7
30	в связи	3	7
31	в том	11	7
32	но в	7	7
33	прежде всего	2	7
34	и для	5	7
35	в таком	3	7
36	в смысле	4	6
37	к тому	6	6
38	и как	3	6
39	в свою	2	6
40	того чтобы	5	6
41	в самом	4	6
42	ни было	2	6
43	же самое	2	6
44	и все	2	6
45	между тем	2	6
46	во всех	2	6
47	быть и	2	6
48	для того	5	6
49	хотя бы	3	6
50	мы можем	2	6
51	самого начала	2	5
52	то ни	2	5
53	или иной	2	5
54	к нему	7	5
55	так же	5	5
56	и на	2	5
57	и здесь	2	5
58	к этому	3	5
59	того же	6	5
60	в его	5	5
61	все же	6	5
62	с самого	3	5
63	в отношении	6	4
64	на то	2	4
65	той или	2	4
66	то что	7	4
67	мы видели	2	4
68	бы то	2	4
69	того что	3	4
70	сказать что	2	4
71	в русском	2	4
72	что он	4	4
73	конечно не	2	4
74	связь с	2	4
75	в себе	6	4
76	и т.д	6	4
77	учение о	4	3
78	в этих	4	3
79	с другой	8	3
80	и от	4	3
81	в этой	4	3
82	одной стороны	7	3
83	в котором	4	3
84	а в	4	3
85	с одной	7	3
86	что оно	4	3
87	все эти	6	3
88	не имеет	5	3
89	не было	2	3
90	о том	6	3
91	так как	9	3
92	к которым	2	3
93	не как	2	3
94	в качестве	3	3
95	связано с	2	3
96	до сих	5	3
97	еще не	2	3
98	одной из	5	3
99	не к	2	3
100	он не	4	3
101	относится к	2	3
102	что и	6	3
103	только что	2	3
104	с другими	4	3
105	во всяком	6	3
106	и это	2	3
107	сих пор	5	3
108	связана с	2	2
109	уже в	2	2
110	что в	9	2
111	что это	3	2
112	на все	2	2
113	оно является	2	2
114	тому же	5	2
115	более или	5	2
116	как о	3	2
117	и у	8	2
118	одним из	2	2
119	всяком случае	6	2
120	жизни и	2	2
121	в своем	3	2
122	всегда и	3	2
123	именно в	2	2
124	и даже	3	2
125	как на	8	2
126	и с	10	2
127	по крайней	5	2
128	к его	2	2
129	и является	2	2
130	в начале	2	2
131	то есть	4	2
132	но по	3	2
133	так называемой	2	2
134	не с	2	2
135	но не	8	2
136	ли это	2	2
137	и о	3	2
138	и потому	6	2
139	и особенно	2	2
140	крайней мере	5	2
141	или менее	5	2
142	приводит к	2	2
143	и тогда	4	2
144	а с	7	2
145	в значительной	3	2
146	свидетельствует о	2	2
147	как от	2	2
148	в виде	4	2
149	далеко не	4	2
150	из него	2	2
151	вместе с	15	2
