N	2gram	Tiupa_Hudo_1	Myslijsy
1	потому что	3	46
2	то есть	18	34
3	в слове	3	32
4	в том	18	32
5	и в	19	30
6	может быть	14	28
7	то же	10	23
8	не только	16	21
9	только в	5	21
10	но и	10	19
11	том что	8	18
12	то что	4	18
13	того что	4	18
14	что в	6	17
15	по себе	2	16
16	в себе	9	16
17	не в	7	15
18	и не	15	15
19	а не	9	15
20	таким образом	3	14
21	что и	2	13
22	а в	12	12
23	если бы	3	12
24	этого слова	2	11
25	так и	11	11
26	в душе	8	10
27	как и	2	10
28	как в	2	10
29	и что	3	10
30	в этом	11	10
31	в то	6	10
32	из этих	3	9
33	для него	4	9
34	в нем	5	9
35	между тем	4	9
36	в самом	5	8
37	и то	4	8
38	слова в	2	7
39	с другой	7	7
40	вовсе не	2	7
41	к тому	4	7
42	но не	11	7
43	с одной	2	7
44	тем самым	4	7
45	что он	3	6
46	например в	3	6
47	не может	7	6
48	уже не	4	6
49	с ним	2	6
50	одно из	2	5
51	в них	2	5
52	в каком	2	5
53	художественного произведения	3	5
54	и как	3	5
55	же время	5	5
56	в своем	2	5
57	языка в	4	5
58	еще не	3	5
59	и тем	2	5
60	отношению к	9	5
61	не менее	3	5
62	по отношению	9	5
63	одно и	3	5
64	я как	2	5
65	с другими	4	5
66	не следует	4	5
67	сказать что	4	5
68	слова и	2	5
69	на деле	3	5
70	для понимания	2	4
71	все это	2	4
72	произведении искусства	2	4
73	в его	9	4
74	себя и	2	4
75	была бы	3	4
76	не все	2	4
77	один из	2	4
78	другой стороны	5	4
79	и его	12	4
80	он не	4	4
81	для того	2	4
82	и по	2	4
83	говоря о	3	4
84	далеко не	2	4
85	и это	2	4
86	и потому	2	4
87	для меня	2	4
88	место в	4	3
89	могут быть	4	3
90	тому что	2	3
91	прежде всего	4	3
92	а только	4	3
93	я и	7	3
94	тем не	3	3
95	именно в	2	3
96	есть в	2	3
97	более или	5	3
98	не будет	2	3
99	свою очередь	2	3
100	в свою	3	3
101	можно сказать	5	3
102	одной стороны	2	3
103	при этом	13	3
104	что она	2	3
105	как бы	9	3
106	никто не	2	3
107	для себя	2	3
108	в целом	3	3
109	образом и	2	3
110	со стороны	2	3
111	или менее	5	3
112	человеческой жизни	2	3
113	в одно	2	3
114	того чтобы	2	3
115	к нему	3	3
116	так же	2	3
117	или в	2	3
118	и на	2	3
119	в искусстве	7	3
120	говорить о	3	3
121	не знает	3	3
122	его в	2	3
123	в произведении	3	3
124	в чем	2	3
125	в которой	2	3
126	об этом	2	2
127	со своей	3	2
128	в какой	2	2
129	не столько	3	2
130	не как	2	2
131	в одном	2	2
132	отношение к	5	2
133	сама по	2	2
134	одной из	2	2
135	в ее	5	2
136	в этой	2	2
137	по своему	2	2
138	но как	2	2
139	могла бы	2	2
140	одно слово	3	2
141	и о	3	2
142	за пределы	2	2
143	так или	3	2
144	даже в	3	2
145	собственно говоря	2	2
146	в своей	5	2
147	в их	5	2
148	в форме	4	2
149	так в	4	2
150	входит в	4	2
151	тогда как	13	2
152	а с	2	2
153	в системе	2	2
154	и притом	3	2
155	я думаю	2	2
156	их в	3	2
157	ни в	5	2
158	точки зрения	10	2
159	из виду	2	2
160	отношении к	2	2
161	о том	2	2
162	произведения искусства	4	2
163	в области	6	2
164	большей части	2	2
