N	2gram	Bakhtin_Pr_2	VrazhdaK
1	у тургенева	4	11
2	не только	11	9
3	достоевский в	4	8
4	в этом	13	8
5	и что	5	8
6	и в	43	8
7	достоевского в	4	7
8	но и	14	7
9	что в	4	7
10	достоевского и	2	7
11	то что	7	7
12	и все	6	7
13	в котором	6	6
14	в нем	12	6
15	все же	3	6
16	и даже	3	6
17	в романе	3	6
18	как и	14	6
19	но в	10	6
20	и с	5	6
21	о нем	6	6
22	то же	8	5
23	и не	29	5
24	у него	6	5
25	об этом	2	5
26	в письме	2	5
27	между тем	3	5
28	в то	7	5
29	же время	5	5
30	уже в	2	4
31	для нас	2	4
32	у достоевского	14	4
33	как бы	22	4
34	все это	5	4
35	целый ряд	2	4
36	это не	3	4
37	достоевского не	3	4
38	что он	13	4
39	так же	2	4
40	с ним	3	4
41	в своих	2	4
42	может быть	23	4
43	при этом	6	4
44	письме к	2	4
45	о том	5	4
46	в виду	3	4
47	я не	4	3
48	с его	4	3
49	в своем	4	3
50	что у	2	3
51	о себе	7	3
52	в конце	2	3
53	т е	26	3
54	человека в	4	3
55	на то	5	3
56	он был	3	3
57	в том	6	3
58	и его	8	3
59	том что	2	3
60	и как	2	3
61	тем что	3	3
62	достоевский не	2	3
63	в его	10	3
64	далеко не	4	3
65	его в	3	3
66	из подполья	2	3
67	но он	4	3
68	и о	2	3
69	он не	9	3
70	что ж	6	2
71	а с	2	2
72	он сам	3	2
73	в своей	4	2
74	и это	4	2
75	из них	2	2
76	не менее	3	2
77	он тоже	3	2
78	никогда не	9	2
79	его и	2	2
80	в них	4	2
81	он пишет	2	2
82	как раз	4	2
83	не может	18	2
84	а в	5	2
85	отношения к	2	2
86	таким образом	5	2
87	рядом с	5	2
88	но это	4	2
89	в той	5	2
90	уже не	3	2
91	к себе	7	2
92	очень хорошо	2	2
93	и он	5	2
94	в повести	2	2
95	же не	4	2
96	с точки	8	2
97	как же	2	2
98	достоевского он	2	2
99	что я	6	2
100	и то	2	2
101	их в	4	2
102	точки зрения	13	2
103	и ее	3	2
104	в себе	5	2
105	отношение к	2	2
106	для него	8	2
107	еще не	9	2
108	во время	4	2
109	одна из	2	2
110	том же	4	2
111	в эту	3	2
112	в него	7	2
