N	2gram	Trubetskoy_1	VrazhdaK
1	не только	9	9
2	в этом	17	8
3	и что	2	8
4	и в	14	8
5	но и	10	7
6	что в	4	7
7	то что	13	7
8	в котором	2	6
9	в нем	5	6
10	все же	4	6
11	и даже	2	6
12	как и	4	6
13	в начале	2	6
14	но в	2	6
15	и с	7	6
16	то же	11	5
17	не было	3	5
18	и не	19	5
19	у него	2	5
20	между тем	5	5
21	в то	10	5
22	же время	10	5
23	в россии	6	5
24	в россию	2	4
25	для нас	2	4
26	как бы	4	4
27	все это	6	4
28	целый ряд	2	4
29	что он	6	4
30	так же	2	4
31	с ним	2	4
32	в своих	6	4
33	может быть	9	4
34	при этом	5	4
35	несмотря на	3	4
36	о том	7	4
37	в ней	2	4
38	речь идет	2	3
39	связи с	3	3
40	в своем	6	3
41	и во	3	3
42	в конце	3	3
43	на то	5	3
44	в том	17	3
45	том что	9	3
46	и как	3	3
47	тем что	3	3
48	в его	4	3
49	его в	4	3
50	и о	2	3
51	он не	5	3
52	место в	2	2
53	а с	2	2
54	он сам	3	2
55	в своей	5	2
56	из них	3	2
57	никогда не	5	2
58	вместе с	4	2
59	отнюдь не	7	2
60	его и	2	2
61	россии в	7	2
62	не может	22	2
63	а в	5	2
64	тогда как	2	2
65	отношения к	2	2
66	таким образом	11	2
67	это в	2	2
68	но это	2	2
69	уже не	2	2
70	к себе	2	2
71	этот человек	2	2
72	с точки	9	2
73	в глазах	2	2
74	в этой	4	2
75	и то	4	2
76	их в	2	2
77	точки зрения	11	2
78	в себе	9	2
79	для него	6	2
80	еще не	3	2
81	во время	2	2
82	на это	2	2
83	в мире	4	2
84	с нею	3	2
85	одна из	3	2
86	том же	2	2
