N	3gram	Losev_Prob_3	Formalny
1	с точки зрения	2	14
2	не может быть	5	14
3	на самом деле	2	12
4	в то же	4	7
5	и т д	13	6
6	во всяком случае	6	6
7	с другой стороны	5	5
8	в данном случае	7	4
9	а вовсе не	2	4
10	то ни было	3	4
11	бы то ни	4	4
12	в связи с	7	4
13	то же самое	7	3
14	вовсе не является	2	3
15	в том что	9	3
16	потому что он	4	3
17	самом же деле	4	2
18	то или иное	2	2
19	дело в том	3	2
20	на самом же	4	2
21	вовсе не в	2	2
22	тем не менее	10	2
23	сами по себе	6	2
24	в отличие от	2	2
25	в конце концов	3	2
26	как мы видели	2	2
27	только то что	2	2
28	дело не в	2	2
29	о том как	2	2
30	именно потому что	3	2
31	ровно ничего не	2	2
