N	3gram	Vygotskiy__1	EvropaiC
1	в том что	15	16
2	до сих пор	4	12
3	по отношению к	7	10
4	друг с другом	4	9
5	с точки зрения	18	8
6	на то что	3	7
7	мы говорили выше	2	6
8	друг от друга	3	6
9	для того чтобы	15	6
10	по сравнению с	5	5
11	в самом деле	2	5
12	не может быть	5	4
13	о том что	6	4
14	с другой стороны	9	4
15	в данном случае	2	3
16	так же как	5	3
17	заключается в том	6	3
18	то что у	2	2
19	в то же	2	2
20	не в состоянии	2	2
21	том что он	2	2
22	в свою очередь	3	2
23	между этими двумя	2	2
24	то же время	2	2
25	с одной стороны	8	2
26	а с другой	2	2
27	во всяком случае	3	2
28	вместе с тем	5	2
