N	2gram	Propp_Morf_1	Stilisti
1	и в	13	42
2	как бы	3	27
3	не только	4	27
4	прежде всего	9	22
5	хотя бы	4	17
6	но и	4	15
7	то же	7	15
8	и не	12	14
9	может быть	52	12
10	не может	14	12
11	точки зрения	2	11
12	как и	3	11
13	и как	5	10
14	что мы	2	10
15	мы должны	3	10
16	как мы	6	10
17	в этом	14	10
18	в то	3	9
19	то что	8	9
20	для того	2	9
21	мы не	8	9
22	все же	7	8
23	таким образом	21	8
24	с тем	2	8
25	что же	2	8
26	и тем	2	7
27	потому что	3	7
28	так как	16	7
29	с его	2	7
30	было бы	3	7
31	а не	11	7
32	того чтобы	3	7
33	мы можем	2	7
34	только в	2	7
35	в которой	3	7
36	ничего не	4	7
37	мы будем	3	6
38	не в	3	6
39	в этой	2	6
40	на его	4	6
41	в форме	6	6
42	во всех	4	6
43	так и	6	6
44	независимо от	3	5
45	в нашем	3	5
46	тому что	4	5
47	не является	3	5
48	и их	2	5
49	а в	7	5
50	как это	3	5
51	с точки	2	5
52	можно сказать	2	4
53	к тому	4	4
54	но все	3	4
55	в качестве	5	4
56	один из	5	4
57	того что	3	4
58	так же	3	4
59	о том	2	4
60	его в	2	4
61	но в	2	4
62	не существует	3	4
63	если бы	2	4
64	и к	4	4
65	у нас	2	4
66	мы видим	13	4
67	мы увидим	8	4
68	на него	3	4
69	а с	2	4
70	если мы	5	4
71	уже не	2	4
72	самом деле	4	4
73	и пр	37	4
74	можно было	2	4
75	его и	2	3
76	перед нами	10	3
77	это не	6	3
78	главным образом	4	3
79	этом случае	8	3
80	как таковой	2	3
81	для нас	2	3
82	здесь мы	3	3
83	которое может	2	3
84	но для	2	3
85	хотя и	3	3
86	в целом	3	3
87	из них	3	3
88	от того	3	3
89	чаще всего	7	3
90	сказать что	2	3
91	и здесь	5	3
92	в начале	3	3
93	но вот	2	3
94	та же	2	3
95	об этом	4	3
96	том что	4	3
97	в тех	6	3
98	еще не	3	3
99	что и	7	3
100	вряд ли	2	3
101	на самом	4	3
102	что такое	3	3
103	и для	2	3
104	то мы	4	3
105	связи с	10	3
106	не сумеем	2	2
107	в частности	2	2
108	в какой	3	2
109	не всегда	9	2
110	вопрос о	7	2
111	как уже	2	2
112	в том	6	2
113	но это	6	2
114	в пределах	3	2
115	несмотря на	4	2
116	из двух	2	2
117	но мы	3	2
118	не с	2	2
119	в этих	13	2
120	целый ряд	3	2
121	как например	2	2
122	в связи	9	2
123	случаях когда	2	2
124	все эти	2	2
125	в которых	2	2
126	также и	4	2
127	о происхождении	2	2
128	что эти	2	2
129	мы имеем	9	2
130	ни к	2	2
131	однако в	2	2
132	между собой	4	2
133	с этим	11	2
134	к этому	3	2
135	с собой	3	2
136	ясно что	5	2
137	что он	4	2
138	на первый	3	2
139	чему не	2	2
140	видим что	10	2
141	представляет собой	17	2
142	но не	4	2
143	по своему	2	2
144	а на	3	2
145	тех случаях	2	2
146	как таковое	2	2
147	как в	3	2
148	здесь не	2	2
149	первый взгляд	3	2
150	перейти к	2	2
151	из которых	3	2
152	к чему	3	2
153	к нему	3	2
154	или в	4	2
155	этот вопрос	2	2
156	тем что	4	2
157	в каком	2	2
158	тем и	2	2
159	заметить что	8	2
