N	2gram	Tiupa_Vved_1	formyVre
1	и в	13	50
2	то есть	8	33
3	в романе	6	32
4	в этом	21	25
5	в нем	5	24
6	и его	5	16
7	в литературе	2	16
8	прежде всего	7	15
9	и не	12	14
10	как мы	3	14
11	как раз	2	13
12	в его	4	13
13	так и	8	12
14	может быть	18	11
15	таким образом	4	11
16	то же	5	11
17	времени и	7	10
18	но в	6	10
19	в том	10	9
20	же время	3	9
21	в то	4	9
22	не только	20	9
23	в самом	2	8
24	но и	19	8
25	и на	3	8
26	жизни в	4	8
27	как и	11	8
28	жизни и	7	8
29	не было	2	7
30	это время	2	7
31	времени в	3	7
32	героя и	3	7
33	так сказать	2	7
34	все же	6	6
35	в частности	13	6
36	это не	6	6
37	например в	2	6
38	не может	7	6
39	лишь в	2	6
40	в результате	3	6
41	и все	4	6
42	в жизни	4	6
43	и того	2	6
44	во всех	2	6
45	то что	6	6
46	как в	4	6
47	человеческой жизни	3	6
48	между двумя	3	6
49	что в	3	5
50	не в	6	5
51	в пределах	2	5
52	в основе	3	5
53	хронотопа в	2	5
54	если бы	7	5
55	отнюдь не	7	5
56	но не	5	5
57	еще не	7	5
58	наряду с	2	5
59	он не	3	5
60	не могло	2	5
61	отношению к	7	5
62	могут быть	4	5
63	но на	2	4
64	в своем	5	4
65	мы и	2	4
66	до конца	3	4
67	в котором	8	4
68	не имеет	2	4
69	потому что	5	4
70	и с	2	4
71	в ней	4	4
72	между собой	2	4
73	в них	2	4
74	и т.п	9	4
75	в той	4	4
76	том что	7	4
77	и для	3	4
78	только в	6	4
79	здесь не	2	4
80	в этих	3	3
81	вследствие этого	3	3
82	к тому	6	3
83	при этом	26	3
84	имеет место	4	3
85	хотя и	7	3
86	мира в	8	3
87	один из	3	3
88	по отношению	7	3
89	этом отношении	4	3
90	с одной	5	3
91	а в	6	3
92	их в	2	3
93	в начале	3	3
94	но они	2	3
95	для них	3	3
96	на фоне	2	3
97	к этому	2	3
98	в качестве	8	3
99	и времени	2	3
100	что и	2	3
101	во времени	2	3
102	а не	15	3
103	мы не	4	3
104	быть только	2	3
105	в себе	5	3
106	место в	2	2
107	никогда не	4	2
108	в нашем	6	2
109	с другой	5	2
110	или иной	3	2
111	для нас	2	2
112	тому же	4	2
113	есть в	2	2
114	в свою	4	2
115	для него	3	2
116	одной стороны	5	2
117	не о	2	2
118	в целом	3	2
119	не к	4	2
120	отношение к	2	2
121	как по	2	2
122	жизни то	2	2
123	те же	2	2
124	во втором	2	2
125	того что	6	2
126	и по	3	2
127	к ним	2	2
128	или не	2	2
129	также и	4	2
130	той или	3	2
131	что мы	2	2
132	как он	2	2
133	с ним	3	2
134	не является	3	2
135	не как	2	2
136	полноту и	2	2
137	по себе	2	2
138	сохраняется и	2	2
139	и к	2	2
140	об этом	4	2
141	началом и	2	2
142	в соответствии	6	2
143	одна из	4	2
144	было бы	4	2
145	в данной	2	2
146	а также	8	2
147	в этот	2	2
148	принадлежит к	3	2
149	в своей	5	2
150	как бы	4	2
151	быть и	2	2
152	в центре	2	2
153	в отличие	2	2
154	уже не	5	2
155	в данном	13	2
156	тем что	2	2
157	всей его	2	2
158	соответствии с	6	2
159	далеко не	4	2
160	как оно	2	2
161	отличие от	2	2
