N	3gram	Vinokur_Ku_1	EvropaiC
1	в том что	15	16
2	до сих пор	4	12
3	по отношению к	8	10
4	с точки зрения	9	8
5	более или менее	3	7
6	на то что	2	7
7	на самом деле	2	7
8	для того чтобы	15	6
9	о котором идет	2	5
10	в самом деле	7	5
11	котором идет речь	2	5
12	не может быть	3	4
13	о том что	5	4
14	тем не менее	4	4
15	с другой стороны	6	4
16	в этом случае	2	4
17	и того же	2	3
18	одного и того	2	3
19	естественно поэтому что	2	3
20	в связи с	3	3
21	заключается в том	2	3
22	так или иначе	2	3
23	в то же	2	2
24	том что он	4	2
25	в свою очередь	3	2
26	что же касается	4	2
27	то же время	2	2
28	а с другой	3	2
29	в том и	2	2
30	того чтобы быть	2	2
31	во всяком случае	5	2
32	но все же	2	2
33	вместе с тем	3	2
34	рано или поздно	2	2
