N	2gram	Bakhtin_KF_1	Tvorches
1	и в	24	20
2	не только	5	13
3	никогда не	5	11
4	как бы	9	11
5	в его	40	10
6	в то	3	10
7	и его	17	9
8	и не	26	9
9	прежде всего	2	8
10	в том	6	8
11	при этом	4	8
12	но и	9	8
13	может быть	45	8
14	в этом	14	8
15	это не	10	7
16	же время	2	7
17	что в	4	7
18	не может	27	7
19	то же	5	7
20	потому что	2	7
21	что он	2	6
22	как и	5	6
23	в целом	10	6
24	в своей	10	6
25	так и	2	6
26	все это	10	6
27	именно в	5	6
28	а не	17	6
29	в мире	6	5
30	но это	6	5
31	еще не	4	5
32	но не	12	5
33	все же	5	5
34	и на	3	5
35	в этой	2	5
36	о том	3	5
37	мы не	3	4
38	в соответствии	2	4
39	том что	4	4
40	соответствии с	2	4
41	отнюдь не	6	4
42	как в	2	4
43	если не	2	4
44	все эти	10	4
45	тем самым	4	4
46	в принципе	2	4
47	не в	12	4
48	а в	4	4
49	в чем	4	4
50	и потому	2	4
51	ничего не	3	4
52	если бы	8	4
53	но в	5	4
54	место в	5	3
55	а с	2	3
56	жизни в	5	3
57	к этому	2	3
58	с ним	5	3
59	отношению к	22	3
60	для него	8	3
61	что не	3	3
62	и мы	2	3
63	он не	6	3
64	в котором	24	3
65	один из	2	3
66	в нем	28	3
67	то что	7	3
68	и это	12	3
69	в их	8	3
70	по отношению	26	3
71	уже не	7	3
72	тем что	3	3
73	в своих	3	3
74	в себе	21	3
75	его в	5	3
76	между тем	4	3
77	ни к	2	2
78	включает в	2	2
79	не менее	3	2
80	и есть	9	2
81	это уже	2	2
82	его и	2	2
83	в одном	4	2
84	я не	6	2
85	вовсе не	7	2
86	и ее	2	2
87	в ее	16	2
88	целом и	3	2
89	что я	5	2
90	проникает в	5	2
91	которой он	2	2
92	для которого	3	2
93	отказаться от	2	2
94	нет и	3	2
95	себя в	8	2
96	я буду	3	2
97	в процессе	2	2
98	в ту	2	2
99	бы не	3	2
100	не было	8	2
101	и других	2	2
102	но эта	5	2
103	сводится к	2	2
104	самом деле	3	2
105	рядом с	3	2
106	с ними	3	2
107	философии но	2	2
108	что этот	3	2
109	в основе	5	2
110	в виде	2	2
111	могут быть	3	2
112	говорить о	2	2
113	и только	6	2
114	только в	16	2
115	этот факт	2	2
116	но ведь	5	2
117	только с	3	2
118	едва ли	2	2
119	познания и	4	2
