N	2gram	Vygotskiy__4	TeoriaLi
1	в мире	3	24
2	не только	7	18
3	и не	13	16
4	а в	4	14
5	в частности	4	13
6	и в	33	13
7	может быть	22	12
8	так и	3	12
9	то есть	13	12
10	представляет собой	2	11
11	при этом	2	11
12	в этом	28	11
13	в том	21	11
14	но не	3	10
15	а не	6	10
16	и его	5	10
17	в его	10	9
18	то же	9	9
19	сводится к	2	8
20	что в	21	8
21	но и	3	8
22	себя в	4	7
23	в себе	6	7
24	том что	22	7
25	точки зрения	6	7
26	в то	3	7
27	только в	4	7
28	как это	14	7
29	место в	2	6
30	с его	2	6
31	же время	2	6
32	как бы	25	6
33	в русской	2	6
34	но в	2	6
35	в своем	7	5
36	в ее	2	5
37	как и	5	5
38	не в	2	5
39	в пределах	3	5
40	в самом	12	5
41	в нем	7	5
42	как в	3	5
43	он не	11	5
44	тем самым	3	5
45	с другой	2	5
46	мы имеем	2	5
47	в искусстве	2	5
48	героя и	2	5
49	можно сказать	2	4
50	ни в	3	4
51	читателя в	2	4
52	в своей	4	4
53	то что	44	4
54	в их	2	4
55	не может	10	4
56	сказать что	13	4
57	но он	6	4
58	и ее	2	4
59	говорить о	3	4
60	перед нами	6	3
61	в порядке	4	3
62	никогда не	5	3
63	прежде всего	2	3
64	и к	2	3
65	того что	4	3
66	например в	3	3
67	в сторону	3	3
68	и потому	2	3
69	этого слова	3	3
70	не все	2	3
71	на две	2	3
72	с ее	3	3
73	другой стороны	2	3
74	как раз	9	3
75	таким образом	13	3
76	а с	2	3
77	именно в	2	3
78	и вот	6	3
79	и что	25	3
80	о ней	2	3
81	и то	2	3
82	потому что	24	3
83	в основе	3	3
84	между двумя	2	3
85	в этой	9	3
86	его в	3	3
87	все эти	6	3
88	в художественном	2	3
89	я не	4	2
90	сама по	3	2
91	только не	2	2
92	если бы	10	2
93	была бы	2	2
94	в конце	8	2
95	это не	6	2
96	вовсе не	5	2
97	по себе	9	2
98	что он	20	2
99	к тому	12	2
100	что может	3	2
101	об этом	4	2
102	мы легко	3	2
103	и как	5	2
104	что они	6	2
105	казалось бы	5	2
106	одной стороны	3	2
107	а на	2	2
108	мы в	3	2
109	из которых	3	2
110	вслед за	3	2
111	иначе говоря	2	2
112	здесь мы	3	2
113	слова как	3	2
114	в виду	2	2
115	даже в	2	2
116	как говорит	2	2
117	в целом	5	2
118	принадлежит к	2	2
119	во всех	2	2
120	вместе с	8	2
121	со стороны	2	2
122	не на	2	2
123	и для	3	2
124	с одной	3	2
125	это и	5	2
126	в той	3	2
127	и о	4	2
128	говорит что	10	2
129	с точки	4	2
130	во всей	3	2
131	так же	13	2
132	либо в	4	2
133	в рассказе	8	2
134	их в	3	2
135	у него	6	2
136	и здесь	3	2
137	могла бы	4	2
138	как будто	8	2
139	о том	20	2
140	перед ним	2	2
141	и это	5	2
142	в которой	4	2
143	это было	4	2
