N	2gram	Medvedev_V_1	Problema
1	и в	26	30
2	в своей	4	22
3	то что	6	18
4	не только	25	18
5	том что	8	17
6	в этом	26	17
7	и даже	2	14
8	но и	10	13
9	таким образом	31	13
10	в том	15	12
11	в его	14	12
12	и не	19	12
13	также и	2	12
14	о том	10	12
15	в своем	8	11
16	у него	6	11
17	точки зрения	3	10
18	в этой	4	10
19	все же	5	9
20	сказать что	5	9
21	но в	2	9
22	только в	7	9
23	в конце	3	8
24	вовсе не	3	8
25	художественного творчества	18	8
26	хотя и	2	8
27	никогда не	4	7
28	что он	4	7
29	у нас	2	7
30	как и	7	7
31	связи с	4	7
32	но не	2	7
33	может быть	22	7
34	вместе с	7	7
35	так и	5	7
36	говорит о	7	7
37	до нас	2	7
38	в связи	3	7
39	не в	6	7
40	в результате	5	7
41	с другой	11	6
42	прежде всего	13	6
43	можно сказать	4	6
44	и как	3	6
45	и для	2	6
46	как бы	5	6
47	конце концов	2	6
48	в нем	6	6
49	что и	3	6
50	другой стороны	8	6
51	а в	3	6
52	и его	6	6
53	его в	3	6
54	при помощи	3	6
55	не менее	2	5
56	с тем	3	5
57	что в	10	5
58	что у	2	5
59	в которой	2	5
60	будто бы	2	5
61	в силу	11	5
62	так же	3	5
63	художественное творчество	6	5
64	в самом	4	5
65	и их	3	5
66	не может	17	5
67	в году	6	5
68	а не	7	5
69	и у	2	5
70	он и	2	5
71	как раз	3	5
72	еще и	2	4
73	в частности	11	4
74	отнюдь не	3	4
75	но даже	3	4
76	как о	2	4
77	по крайней	2	4
78	тогда когда	2	4
79	человека и	3	4
80	об этом	9	4
81	было бы	7	4
82	в качестве	11	4
83	крайней мере	2	4
84	и к	3	4
85	и он	2	4
86	или в	3	4
87	даже и	3	4
88	в себе	6	4
89	в то	6	4
90	далеко не	2	4
91	в противоположность	3	3
92	он сам	2	3
93	именно в	2	3
94	же в	6	3
95	в ее	4	3
96	что его	2	3
97	не столь	3	3
98	что они	3	3
99	смысле слова	2	3
100	еще не	2	3
101	одной стороны	2	3
102	для того	3	3
103	он не	2	3
104	бы не	2	3
105	с одной	2	3
106	того что	3	3
107	в ней	2	3
108	в другом	2	3
109	в одном	4	3
110	в виду	4	3
111	не могут	7	2
112	по словам	8	2
113	по этому	9	2
114	в них	4	2
115	том числе	2	2
116	хотя бы	19	2
117	это не	7	2
118	один из	5	2
119	представляет собою	11	2
120	к этому	9	2
121	по себе	2	2
122	от них	2	2
123	к тому	4	2
124	то же	10	2
125	значительной мере	3	2
126	ли не	2	2
127	по существу	3	2
128	равно как	4	2
129	в нашей	4	2
130	в большей	2	2
131	по поводу	2	2
132	жизни и	3	2
133	что не	3	2
134	в целях	2	2
135	мы имеем	3	2
136	о своем	2	2
137	вслед за	2	2
138	но для	2	2
139	в котором	3	2
140	отношению к	7	2
141	из них	9	2
142	когда он	3	2
143	ее в	4	2
144	и дальше	2	2
145	он пишет	7	2
146	при всем	3	2
147	вообще и	2	2
148	по отношению	7	2
149	этому поводу	7	2
150	все эти	6	2
151	они не	2	2
152	он говорит	5	2
153	в значительной	3	2
154	того чтобы	3	2
155	в науке	2	2
156	по его	2	2
157	его не	3	2
158	разума и	3	2
159	можно было	2	2
160	результате чего	2	2
161	между тем	5	2
162	и просто	2	2
163	мира и	3	2
164	в чем	2	2
165	в области	2	2
