N	2gram	Tiupa_Vved_1	Myslijsy
1	потому что	5	46
2	то есть	8	34
3	в слове	3	32
4	в том	10	32
5	и в	13	30
6	может быть	18	28
7	то же	5	23
8	не только	20	21
9	только в	6	21
10	для нас	2	20
11	но и	19	19
12	том что	7	18
13	то что	6	18
14	того что	6	18
15	что в	3	17
16	по себе	2	16
17	в себе	5	16
18	в сознании	4	15
19	не в	6	15
20	и не	12	15
21	а не	15	15
22	таким образом	4	14
23	что и	2	13
24	а в	6	12
25	если бы	7	12
26	так и	8	11
27	как и	11	10
28	как в	4	10
29	в этом	21	10
30	в то	4	10
31	из этих	3	9
32	для него	3	9
33	было бы	4	9
34	в нем	5	9
35	мы не	4	9
36	в самом	2	8
37	в ней	4	8
38	что мы	2	8
39	слова в	2	7
40	с другой	5	7
41	к тому	6	7
42	как мы	3	7
43	но не	5	7
44	с одной	5	7
45	тем самым	5	7
46	тем что	2	7
47	зависит от	2	6
48	но это	3	6
49	например в	2	6
50	те же	2	6
51	то и	2	6
52	не может	7	6
53	уже не	5	6
54	не имеет	2	6
55	с ним	3	6
56	в них	2	5
57	же время	3	5
58	в своем	5	5
59	еще не	7	5
60	и тем	2	5
61	отношению к	7	5
62	не менее	4	5
63	по отношению	7	5
64	тому как	2	5
65	не следует	3	5
66	и от	2	4
67	мы видели	2	4
68	все что	3	4
69	в его	4	4
70	в котором	8	4
71	не все	2	4
72	один из	3	4
73	не к	4	4
74	другой стороны	2	4
75	бы не	2	4
76	и его	5	4
77	он не	3	4
78	не было	2	4
79	все равно	2	4
80	и по	3	4
81	по поводу	2	4
82	быть только	2	4
83	далеко не	4	4
84	место в	2	3
85	не существует	2	3
86	могут быть	4	3
87	прежде всего	7	3
88	и все	4	3
89	к этому	2	3
90	представить себе	2	3
91	не можем	2	3
92	тем не	3	3
93	а к	3	3
94	и оно	2	3
95	есть в	2	3
96	более или	2	3
97	свою очередь	4	3
98	мы можем	2	3
99	в свою	4	3
100	можно сказать	4	3
101	одной стороны	5	3
102	при этом	26	3
103	вслед за	2	3
104	в ряду	2	3
105	никак не	2	3
106	как бы	4	3
107	в целом	3	3
108	на него	2	3
109	со стороны	5	3
110	или менее	2	3
111	человеческой жизни	3	3
112	в силу	2	3
113	и на	3	3
114	говорить о	2	3
115	в начале	3	3
116	в первом	2	3
117	том как	3	3
118	перед нами	6	2
119	об этом	4	2
120	в приведенном	2	2
121	в какой	4	2
122	его с	2	2
123	не столько	4	2
124	не как	2	2
125	не всегда	2	2
126	отношение к	2	2
127	слова но	2	2
128	по своему	2	2
129	как о	2	2
130	могла бы	3	2
131	в речи	2	2
132	том чтобы	2	2
133	не один	2	2
134	все же	6	2
135	жизни и	7	2
136	в своей	5	2
137	как субъект	2	2
138	что же	3	2
139	целый ряд	2	2
140	и действия	2	2
141	так в	4	2
142	тогда как	10	2
143	а с	2	2
144	этом отношении	4	2
145	быть не	4	2
146	самом деле	3	2
147	когда в	2	2
148	что такое	18	2
149	и наконец	2	2
150	их в	2	2
151	подобно тому	2	2
152	то он	2	2
153	бы в	3	2
154	о том	5	2
155	отделаться от	2	2
156	так сказать	2	2
157	которая не	2	2
158	в области	3	2
159	большей части	3	2
160	и с	2	2
