N	2gram	Berdyaev_M_1	Stilisti
1	и в	28	42
2	как бы	2	27
3	не только	29	27
4	прежде всего	10	22
5	хотя бы	3	17
6	но и	25	15
7	и не	11	14
8	может быть	30	12
9	не может	28	12
10	точки зрения	4	11
11	как и	5	11
12	и как	2	10
13	в этом	20	10
14	в то	2	9
15	то что	5	9
16	для того	2	9
17	все же	2	8
18	в ней	15	8
19	с тем	9	8
20	эти слова	2	8
21	в себе	7	8
22	и это	12	8
23	никогда не	14	7
24	и от	2	7
25	и на	6	7
26	потому что	16	7
27	так как	3	7
28	с его	3	7
29	было бы	10	7
30	а не	25	7
31	того чтобы	2	7
32	и его	9	7
33	только в	6	7
34	в которой	6	7
35	ничего не	3	7
36	не в	16	6
37	в этой	6	6
38	в свою	2	6
39	в конце	7	6
40	когда мы	2	6
41	в нем	13	6
42	уже в	4	5
43	и их	3	5
44	а в	4	5
45	и с	3	5
46	в его	9	5
47	вместе с	6	5
48	в той	2	5
49	к тому	3	4
50	о своей	2	4
51	в самом	11	4
52	один из	4	4
53	все это	6	4
54	того что	7	4
55	о том	2	4
56	его в	3	4
57	бы в	2	4
58	но в	7	4
59	не существует	2	4
60	если бы	2	4
61	и к	2	4
62	у нас	5	4
63	мы видим	2	4
64	человека не	4	4
65	мы увидим	3	4
66	себя в	3	4
67	всего в	2	4
68	уже не	4	4
69	то есть	3	4
70	это не	5	3
71	для нас	3	3
72	не мог	3	3
73	в котором	8	3
74	не к	4	3
75	жизни и	2	3
76	заключает в	3	3
77	и вот	3	3
78	лишь в	6	3
79	не так	3	3
80	сказать что	2	3
81	в начале	2	3
82	в виду	2	3
83	и все	10	3
84	природы он	2	3
85	если он	5	3
86	в ее	3	3
87	том что	3	3
88	конечно не	3	3
89	нет и	5	3
90	что и	4	3
91	отношения к	4	3
92	вряд ли	3	3
93	и для	2	3
94	долгое время	2	3
95	конце концов	2	3
96	не знает	4	3
97	место в	2	2
98	быть может	7	2
99	бы и	3	2
100	почувствовал что	2	2
101	человека и	14	2
102	человека в	13	2
103	вопрос о	2	2
104	в мире	10	2
105	в том	6	2
106	и нет	2	2
107	для него	11	2
108	до конца	14	2
109	в него	3	2
110	себе и	2	2
111	в этих	4	2
112	отношение к	4	2
113	не было	18	2
114	все эти	2	2
115	у человека	5	2
116	должно быть	3	2
117	его не	3	2
118	и те	2	2
119	в которых	4	2
120	также и	2	2
121	даже и	2	2
122	по своей	2	2
123	нет ничего	7	2
124	человека с	2	2
125	в жизни	3	2
126	в основе	2	2
127	для них	3	2
128	чего же	2	2
129	с этим	3	2
130	к этому	2	2
131	с собой	3	2
132	человек не	10	2
133	что он	10	2
134	есть не	4	2
135	к миру	2	2
136	но не	8	2
137	по своему	2	2
138	вращается вокруг	3	2
139	связано с	2	2
140	и когда	2	2
141	и потому	10	2
142	и этот	4	2
143	не есть	9	2
144	в своей	15	2
145	с ней	2	2
146	этот процесс	3	2
147	сих пор	2	2
148	как в	2	2
149	бы не	2	2
150	к чему	2	2
151	и он	12	2
152	к нему	7	2
153	с ним	2	2
154	в движении	3	2
155	тем что	4	2
156	в каком	2	2
157	в середине	4	2
