N	2gram	Vygotskiy__1	Literetu
1	не только	13	24
2	при этом	19	19
3	в качестве	2	17
4	но и	2	17
5	а не	13	16
6	в том	30	16
7	в частности	3	15
8	том что	16	14
9	может быть	22	13
10	и не	16	12
11	в этом	12	12
12	состоит в	3	11
13	прежде всего	4	11
14	в своем	3	11
15	то что	32	10
16	произведение искусства	8	8
17	не в	11	8
18	в целом	5	8
19	и в	31	8
20	только в	14	8
21	как это	4	8
22	не менее	2	7
23	в его	6	7
24	как бы	5	7
25	уже не	2	7
26	в себе	4	7
27	в жизни	2	6
28	как и	16	6
29	того что	10	6
30	точки зрения	15	6
31	то есть	26	6
32	казалось бы	2	5
33	с этой	4	5
34	что он	7	5
35	в конечном	3	5
36	искусства и	15	5
37	как в	9	5
38	не может	17	5
39	то же	5	5
40	в отличие	3	5
41	уже в	3	5
42	тем самым	2	5
43	в то	5	5
44	отличие от	4	5
45	конечном счете	3	4
46	столь же	4	4
47	в конце	3	4
48	в силу	3	4
49	представляет собой	2	4
50	но не	3	4
51	и тем	2	4
52	все же	5	4
53	из них	2	4
54	в художественном	3	4
55	в своей	3	4
56	со стороны	4	4
57	так и	3	4
58	никогда не	8	4
59	в связи	2	4
60	и его	7	4
61	как раз	2	4
62	в своих	4	4
63	в этой	3	4
64	в основе	2	3
65	не было	3	3
66	что в	23	3
67	и есть	5	3
68	с другой	5	3
69	одна из	4	3
70	художественного творчества	6	3
71	например в	3	3
72	в самом	11	3
73	несмотря на	5	3
74	у него	4	3
75	том же	2	3
76	один из	4	3
77	жизни и	3	3
78	приводит к	2	3
79	а в	6	3
80	таким образом	20	3
81	этой точки	5	3
82	тем же	3	3
83	и даже	6	3
84	той же	3	3
85	потому что	10	3
86	во всяком	8	3
87	одно из	2	3
88	нуждается в	3	3
89	но в	3	3
90	исходя из	3	3
91	далеко не	2	3
92	его в	2	3
93	тех же	2	3
94	в области	11	3
95	в виду	4	3
96	должна быть	3	2
97	искусства как	4	2
98	по этому	2	2
99	отнюдь не	6	2
100	будь то	2	2
101	та же	3	2
102	из этих	6	2
103	подобно тому	5	2
104	человека и	2	2
105	в себя	2	2
106	а потому	3	2
107	различие между	4	2
108	к тому	4	2
109	а только	2	2
110	тем не	2	2
111	тому же	3	2
112	из его	3	2
113	х годов	5	2
114	что я	4	2
115	того же	2	2
116	ту или	2	2
117	одной стороны	6	2
118	было бы	6	2
119	по поводу	2	2
120	на один	2	2
121	произведения с	2	2
122	в искусстве	4	2
123	всяком случае	6	2
124	на почве	2	2
125	даже в	2	2
126	не является	5	2
127	в нем	2	2
128	не есть	3	2
129	только то	2	2
130	в сущности	10	2
131	утверждал что	2	2
132	художественное произведение	10	2
133	только на	3	2
134	то и	2	2
135	и только	3	2
136	мышления и	3	2
137	этом отношении	2	2
138	с одной	5	2
139	от себя	4	2
140	самом деле	9	2
141	что такое	2	2
142	с точки	2	2
143	не обладает	2	2
144	что для	2	2
145	роль в	3	2
146	в слове	3	2
147	тому как	7	2
148	и то	2	2
149	между тем	4	2
150	могут быть	11	2
151	как будто	5	2
152	эстетическое переживание	3	2
153	ту же	2	2
154	на это	2	2
155	о том	7	2
156	как он	2	2
157	поэзии и	2	2
158	в сознании	2	2
