N	2gram	Bakhtin_sl_2	Istorich
1	что он	2	24
2	и т	35	19
3	не только	24	18
4	т д	2	18
5	может быть	37	17
6	никогда не	7	15
7	и в	39	15
8	но и	21	14
9	так как	4	14
10	что в	3	12
11	а в	4	12
12	то что	2	12
13	в этих	7	11
14	и не	22	11
15	в этом	16	11
16	его в	4	10
17	то же	4	10
18	этих случаях	2	10
19	еще не	7	9
20	все же	6	9
21	и здесь	2	9
22	в другом	2	9
23	связи с	3	8
24	мы увидим	2	8
25	один из	5	8
26	он не	2	8
27	том что	5	7
28	в нем	19	7
29	вместе с	2	7
30	сих пор	2	7
31	таким образом	8	7
32	не в	9	7
33	до сих	2	6
34	мы уже	2	6
35	в его	7	6
36	как бы	7	6
37	что и	3	6
38	в том	5	6
39	только в	5	6
40	но в	6	6
41	связан с	3	5
42	с этим	2	5
43	прежде всего	8	5
44	в одном	2	5
45	этом случае	6	5
46	но все	5	5
47	как в	13	5
48	она не	6	5
49	на него	2	5
50	так и	15	5
51	не может	20	5
52	в связи	2	5
53	а не	14	5
54	и наконец	5	5
55	к нему	3	5
56	с одной	5	4
57	и другие	2	4
58	и др	4	4
59	его и	2	4
60	у него	3	4
61	для нас	5	4
62	но это	3	4
63	при этом	7	4
64	или на	2	4
65	но он	2	4
66	в ней	3	4
67	о нем	2	4
68	того как	2	4
69	всех сторон	2	4
70	они не	2	4
71	и с	9	4
72	и на	4	4
73	в себе	2	4
74	все эти	6	4
75	всех этих	4	3
76	и его	33	3
77	как это	3	3
78	одной стороны	5	3
79	же и	2	3
80	о том	2	3
81	отношению к	4	3
82	а именно	2	3
83	в их	2	3
84	все это	16	3
85	по отношению	4	3
86	так в	2	3
87	в себя	2	3
88	с одним	2	3
89	роль в	2	3
90	мы не	2	3
91	эти слова	2	3
92	как он	2	3
93	уже в	2	2
94	не было	2	2
95	и социальной	3	2
96	и более	2	2
97	могут быть	7	2
98	себя и	4	2
99	на котором	2	2
100	материал в	3	2
101	перед нами	3	2
102	с другой	5	2
103	это не	5	2
104	не столько	3	2
105	не знает	2	2
106	на образ	4	2
107	ни в	4	2
108	именно в	2	2
109	в основном	4	2
110	как и	6	2
111	мы видели	2	2
112	в нее	2	2
113	одна из	4	2
114	но не	6	2
115	есть на	2	2
116	здесь в	3	2
117	кроме того	2	2
118	того чтобы	2	2
119	и часто	3	2
120	например в	5	2
121	на его	2	2
122	и для	5	2
123	в сущности	6	2
124	а также	3	2
125	не все	2	2
126	хотя бы	3	2
127	к материалу	2	2
128	с ее	2	2
129	во всех	12	2
130	и их	5	2
131	в некоторых	3	2
132	в свете	3	2
133	той же	3	2
134	человека в	5	2
135	его не	4	2
136	или в	2	2
137	с другими	4	2
138	с ними	5	2
139	сказать что	3	2
140	к ней	2	2
141	слова в	13	2
142	здесь не	4	2
143	так сказать	6	2
144	в особенности	3	2
145	только с	2	2
146	в него	7	2
147	из него	2	2
