N	2gram	Potebnia_M_1	Otkroven
1	человеческой природы	3	20
2	и в	39	19
3	но и	20	13
4	и не	18	13
5	в этом	15	12
6	а не	21	11
7	не в	15	11
8	может быть	27	11
9	не только	21	11
10	и все	3	10
11	вопрос о	4	10
12	в нем	20	10
13	никогда не	4	9
14	не было	4	9
15	в человеке	10	9
16	в самой	3	9
17	потому что	52	9
18	прежде всего	4	9
19	но он	2	7
20	от него	4	7
21	нет ничего	2	7
22	он не	3	7
23	в его	5	7
24	как и	9	6
25	то что	10	5
26	а в	5	5
27	о его	2	5
28	в том	26	5
29	для него	4	5
30	в этой	3	5
31	в самом	3	5
32	того чтобы	2	4
33	что не	10	4
34	все в	2	4
35	и его	5	4
36	не может	22	4
37	что в	22	4
38	не могут	4	3
39	человеческого духа	6	3
40	в этих	7	3
41	и есть	2	3
42	мысли и	9	3
43	души но	4	3
44	это не	7	3
45	того что	8	3
46	для того	3	3
47	что человек	5	3
48	хотя бы	2	3
49	в своих	4	3
50	еще не	6	3
51	и от	3	3
52	могут быть	9	3
53	все что	2	3
54	в себе	13	3
55	было бы	12	3
56	природы но	2	3
57	никто не	3	3
58	о том	2	3
59	с ним	3	3
60	как бы	6	3
61	все же	6	2
62	что и	6	2
63	не есть	10	2
64	в душе	11	2
65	и для	5	2
66	с тем	5	2
67	в единстве	2	2
68	в истории	7	2
69	так и	13	2
70	в своем	3	2
71	для всякого	2	2
72	для человека	2	2
73	вопросом о	2	2
74	что же	2	2
75	не все	2	2
76	что все	3	2
77	по себе	10	2
78	свободы и	3	2
79	ко всем	2	2
80	не имеет	5	2
81	должно быть	7	2
82	в которой	2	2
83	природы в	2	2
84	в других	2	2
85	что для	3	2
86	том что	16	2
87	так что	16	2
88	в человеческом	2	2
89	и то	3	2
90	никакого другого	2	2
91	сказать что	3	2
92	и с	3	2
93	чем в	2	2
94	тем что	9	2
95	одно из	3	2
96	даже и	2	2
97	мысль о	2	2
98	в своей	3	2
99	так как	21	2
100	и о	2	2
101	к этой	3	2
102	не могли	2	2
103	хотя и	3	2
104	к ней	2	2
105	но в	9	2
106	и потому	5	2
