N	2gram	Trubetskoy_1	NovoeSre
1	а не	2	17
2	не может	22	16
3	и в	14	16
4	во имя	5	15
5	и не	19	11
6	и есть	2	10
7	что в	4	9
8	жизни и	4	8
9	он не	5	8
10	в том	17	8
11	не будет	7	7
12	культуры и	2	7
13	как и	4	7
14	это есть	2	7
15	в этом	17	7
16	может быть	9	7
17	никогда не	5	6
18	общественной жизни	2	6
19	не в	4	6
20	лишь в	3	6
21	но это	2	6
22	ни в	2	6
23	в нем	5	5
24	все это	6	5
25	культуры в	3	5
26	и к	6	5
27	в ней	2	5
28	не только	9	5
29	то что	13	4
30	не было	3	4
31	и для	6	4
32	должно быть	3	4
33	потому что	5	4
34	прежде всего	8	4
35	о том	7	4
36	и потому	3	4
37	но и	10	3
38	не есть	3	3
39	должна быть	2	3
40	в своей	5	3
41	жизни в	5	3
42	вопрос о	5	3
43	во всех	5	3
44	будут не	2	3
45	к тому	7	3
46	что такое	2	3
47	в мире	4	3
48	с тем	6	3
49	конечно не	5	3
50	она не	2	3
51	еще не	3	3
52	в россии	6	3
53	что все	3	2
54	том и	2	2
55	центр тяжести	2	2
56	себя в	4	2
57	место в	2	2
58	у него	2	2
59	вместе с	4	2
60	но она	2	2
61	все они	3	2
62	для этого	3	2
63	и от	2	2
64	а в	5	2
65	церкви не	5	2
66	все эти	2	2
67	стремление к	7	2
68	уже не	2	2
69	того чтобы	8	2
70	зависит от	2	2
71	и даже	2	2
72	хотя бы	5	2
73	но не	4	2
74	ни к	7	2
75	так же	2	2
76	по существу	5	2
77	том что	9	2
78	можно было	4	2
79	стремиться к	2	2
80	одна из	3	2
81	и с	7	2
82	и что	2	2
83	с этим	2	2
84	и на	5	2
85	не к	2	2
86	в себе	9	2
87	ли это	4	2
88	в то	10	2
89	как будто	2	2
90	в будущем	3	2
91	к богу	7	2
92	ни одна	3	2
93	том чтобы	3	2
94	и должно	2	2
95	но для	2	2
96	но в	2	2
97	помнить что	2	2
