N	2gram	Losev_Vlad_1	OGranits
1	и в	31	13
2	и его	7	12
3	не может	6	8
4	и не	17	8
5	может быть	6	8
6	точки зрения	2	7
7	в его	12	7
8	таким образом	3	6
9	не только	24	6
10	то что	18	6
11	только в	9	6
12	мы должны	2	6
13	все же	3	5
14	хотя бы	2	5
15	то же	6	4
16	но мы	2	4
17	в своей	4	4
18	все это	5	4
19	еще и	7	4
20	лишь в	2	4
21	было бы	2	4
22	но в	12	4
23	что в	14	3
24	никогда не	9	3
25	но и	19	3
26	так и	6	3
27	что же	5	3
28	и все	4	3
29	здесь мы	3	3
30	да и	4	3
31	как и	4	3
32	не в	5	3
33	за пределы	3	3
34	в которой	4	3
35	и то	10	3
36	не столько	2	3
37	в себе	4	3
38	и для	2	3
39	так как	8	3
40	еще в	4	2
41	не менее	2	2
42	для себя	2	2
43	уже в	7	2
44	в нем	4	2
45	в целом	3	2
46	в этот	4	2
47	в отношении	3	2
48	другой стороны	3	2
49	с другой	3	2
50	в них	2	2
51	в связи	3	2
52	собственно говоря	3	2
53	а в	9	2
54	в течение	9	2
55	все эти	3	2
56	вовсе не	5	2
57	в тех	2	2
58	к тому	3	2
59	и к	6	2
60	как в	3	2
61	в общем	3	2
62	в чем	2	2
63	в том	11	2
64	в которую	2	2
65	не мог	3	2
66	том что	14	2
67	с ними	2	2
68	в своих	5	2
69	что они	3	2
70	в этом	14	2
71	учение о	2	2
72	тем что	2	2
73	при этом	2	2
74	для него	7	2
75	во всем	4	2
76	тот же	3	2
77	кажется что	2	2
78	несмотря на	4	2
79	мы уже	7	2
80	его на	2	2
81	в самом	2	2
82	а также	5	2
