N	2gram	Bakhtin_Fr_2	Narrotol
1	не только	17	31
2	но и	13	27
3	и не	15	23
4	при этом	5	19
5	может быть	5	15
6	в качестве	2	14
7	как и	11	13
8	а в	4	13
9	только в	13	12
10	в этом	15	12
11	и в	49	11
12	такого рода	2	10
13	и его	17	10
14	времени и	6	9
15	то что	6	9
16	то есть	32	9
17	то же	7	8
18	в том	3	8
19	и т.п	11	8
20	не может	7	8
21	у него	2	7
22	том что	4	7
23	на протяжении	7	7
24	но в	4	7
25	и т.д	2	6
26	одного из	2	6
27	в самом	3	6
28	как бы	11	6
29	один из	7	6
30	жизни и	7	6
31	в себе	4	6
32	в его	18	6
33	в этой	10	6
34	можно сказать	2	5
35	точка зрения	3	5
36	в своей	5	5
37	так и	6	5
38	и на	17	5
39	точки зрения	6	5
40	с его	5	4
41	о чем	3	4
42	никогда не	5	4
43	из этих	5	4
44	в литературе	6	4
45	все же	7	4
46	для него	9	4
47	но не	5	4
48	же время	6	4
49	прежде всего	19	4
50	еще не	2	4
51	к нему	3	4
52	вплоть до	2	4
53	в ней	2	4
54	в нем	9	4
55	в мире	2	4
56	из них	3	4
57	так в	3	4
58	того чтобы	2	4
59	хотя и	2	4
60	в то	6	4
61	о том	3	4
62	одна из	4	4
63	из наиболее	2	4
64	в одном	3	4
65	тому как	2	3
66	но они	3	3
67	что в	2	3
68	в нашем	2	3
69	в своем	5	3
70	в жизни	4	3
71	что он	3	3
72	еще раз	2	3
73	в начале	5	3
74	как известно	2	3
75	но именно	3	3
76	и о	4	3
77	еще в	2	3
78	не было	4	3
79	этом отношении	3	3
80	именно в	6	3
81	лишь в	4	3
82	также и	3	3
83	их в	3	3
84	и с	6	3
85	подобно тому	2	3
86	и все	3	3
87	для них	2	2
88	в этих	4	2
89	она была	4	2
90	большей или	3	2
91	не подлежит	2	2
92	в конце	2	2
93	в сущности	8	2
94	на то	2	2
95	как мы	7	2
96	же в	3	2
97	да и	3	2
98	в романе	9	2
99	с ее	3	2
100	все что	2	2
101	и после	2	2
102	до конца	2	2
103	до сих	4	2
104	в пределах	2	2
105	меньшей степени	3	2
106	всяком случае	2	2
107	раз в	3	2
108	вместе с	2	2
109	сих пор	4	2
110	в форме	4	2
111	другой стороны	3	2
112	жизни в	3	2
113	в связи	2	2
114	в особенности	5	2
115	ключ к	2	2
116	в году	13	2
117	и вот	3	2
118	и даже	2	2
119	с другой	4	2
120	особенно в	2	2
121	роль в	5	2
122	ничего не	2	2
123	сказать что	6	2
124	во всяком	2	2
125	мы можем	2	2
126	что касается	2	2
127	и еще	2	2
128	связи с	2	2
129	в произведении	2	2
130	здесь не	2	2
131	с ним	4	2
132	в области	4	2
133	та же	2	2
