N	2gram	Savitsky_P_1	Problemy
1	и в	14	35
2	как бы	4	31
3	и не	12	27
4	в его	2	21
5	но в	9	19
6	не может	4	18
7	в нем	3	16
8	то же	9	15
9	но и	6	14
10	может быть	5	14
11	все это	2	14
12	в этом	10	14
13	прежде всего	3	12
14	и с	2	12
15	и к	4	12
16	в пределах	8	11
17	в то	7	11
18	а я	5	10
19	не в	5	10
20	же время	7	10
21	не только	17	10
22	то что	4	10
23	в отношении	10	9
24	потому что	3	8
25	а в	4	7
26	точки зрения	3	7
27	в виде	2	7
28	отношении к	5	7
29	что в	4	6
30	но не	3	6
31	только в	7	6
32	в том	9	5
33	да и	2	5
34	с ними	3	5
35	в себе	3	5
36	и это	2	5
37	друг другу	2	4
38	с другой	5	4
39	в мире	2	4
40	не о	2	4
41	и вот	2	4
42	между тем	3	4
43	теперь в	2	4
44	в эту	2	4
45	как раз	2	4
46	в них	2	4
47	по себе	4	4
48	тот же	3	4
49	а не	2	4
50	и без	3	4
51	в общем	2	3
52	из них	2	3
53	того что	2	3
54	должно быть	2	3
55	это не	3	3
56	говорить о	2	3
57	в начале	2	3
58	мы должны	4	3
59	в котором	4	3
60	с тем	3	3
61	с этим	2	3
62	в ее	2	3
63	том что	4	3
64	было бы	6	3
65	во всех	2	3
66	сводится к	3	3
67	не менее	2	2
68	столь же	3	2
69	было в	2	2
70	например в	2	2
71	хотя и	3	2
72	в своем	4	2
73	в которых	5	2
74	в ней	6	2
75	и пусть	2	2
76	я и	3	2
77	в жизни	2	2
78	точек зрения	2	2
79	и как	3	2
80	хотя бы	8	2
81	с точки	3	2
